Season,Date,HomeTeam,AwayTeam,ResultEncoded,Bet365HomeWinOddsPercentage,Bet365DrawOddsPercentage,Bet365AwayWinOddsPercentage,OddsFavourHome,OddsFavourDraw,OddsFavourAway,OddsDifference_HvA,OddsDifference_HvD,OddsDifference_AvD
2019,09/08/2019,Liverpool,Norwich,1,0.8517887563884157,0.09710391822827938,0.05110732538330493,1,0,0,-17.86,-8.86,9.0
2019,10/08/2019,West Ham,Man City,-1,0.07885055185442974,0.14557024957740877,0.7755791985681615,0,0,1,10.78,5.5,-5.28
2019,10/08/2019,Bournemouth,Sheffield United,0,0.48,0.25999999999999995,0.25999999999999995,1,0,0,-1.6500000000000001,-1.6500000000000001,0.0
2019,10/08/2019,Burnley,Southampton,1,0.3608184017384886,0.2954200664233876,0.34376153183812375,1,0,0,-0.1299999999999999,-0.5800000000000001,-0.4500000000000002
2019,10/08/2019,Crystal Palace,Everton,0,0.313587786259542,0.2894656488549619,0.3969465648854962,0,0,1,0.6299999999999999,-0.25,-0.8799999999999999
2019,10/08/2019,Watford,Brighton,-1,0.49168474331164136,0.274765003615329,0.23355025307302965,1,0,0,-2.1,-1.5,0.6000000000000001
2019,10/08/2019,Tottenham,Aston Villa,1,0.7258900795022467,0.1797442101624611,0.09436571033529209,1,0,0,-8.7,-3.95,4.75
2019,11/08/2019,Leicester,Wolves,0,0.4283464566929133,0.2944881889763779,0.27716535433070866,1,0,0,-1.1999999999999997,-1.0,0.19999999999999973
2019,11/08/2019,Newcastle,Arsenal,-1,0.20762916465475614,0.2491549975857074,0.5432158377595365,0,0,1,2.7800000000000002,0.75,-2.0300000000000002
2019,11/08/2019,Man United,Chelsea,1,0.4471544715447154,0.2845528455284553,0.26829268292682923,1,0,0,-1.4,-1.1999999999999997,0.20000000000000018
2019,17/08/2019,Arsenal,Burnley,1,0.7318695941450432,0.17298735861610112,0.09514304723885562,1,0,0,-8.7,-4.2,4.5
2019,17/08/2019,Aston Villa,Bournemouth,-1,0.41349548842683415,0.2797175362887407,0.3067869752844253,1,0,0,-0.8000000000000003,-1.1,-0.2999999999999998
2019,17/08/2019,Brighton,West Ham,0,0.3740950929472397,0.2935207652355265,0.3323841418172338,1,0,0,-0.3200000000000003,-0.7000000000000002,-0.3799999999999999
2019,17/08/2019,Everton,Watford,1,0.5510440835266821,0.24941995359628769,0.19953596287703013,1,0,0,-3.0300000000000002,-2.08,0.9500000000000002
2019,17/08/2019,Norwich,Newcastle,1,0.42307692307692313,0.2884615384615385,0.2884615384615385,1,0,0,-1.0499999999999998,-1.0499999999999998,0.0
2019,17/08/2019,Southampton,Liverpool,-1,0.14530005310674457,0.19883165161975572,0.6558682952734998,0,0,1,5.0600000000000005,1.75,-3.31
2019,17/08/2019,Man City,Tottenham,0,0.6997667444185273,0.18127290903032325,0.11896034655114963,1,0,0,-6.64,-3.8899999999999997,2.75
2019,18/08/2019,Sheffield United,Crystal Palace,1,0.3701111568546727,0.3044462741869082,0.3254425689584191,1,0,0,-0.3500000000000001,-0.5500000000000003,-0.20000000000000018
2019,18/08/2019,Chelsea,Leicester,0,0.5576208178438662,0.2527881040892193,0.1895910780669145,1,0,0,-3.3,-2.05,1.25
2019,19/08/2019,Wolves,Man United,0,0.28846153846153844,0.28846153846153844,0.423076923076923,0,0,1,1.0499999999999998,0.0,-1.0499999999999998
2019,23/08/2019,Aston Villa,Everton,1,0.2906808305166586,0.269917914051183,0.43940125543215836,0,0,1,1.1,-0.25,-1.35
2019,24/08/2019,Norwich,Chelsea,-1,0.21928755908581452,0.25320403489108717,0.5275084060230983,0,0,1,2.5300000000000002,0.5800000000000001,-1.95
2019,24/08/2019,Brighton,Southampton,-1,0.3956834532374101,0.2877697841726619,0.31654676258992803,1,0,0,-0.6000000000000001,-0.8999999999999999,-0.2999999999999998
2019,24/08/2019,Man United,Crystal Palace,-1,0.7137192704203014,0.18080888183980967,0.10547184773988898,1,0,0,-7.67,-3.92,3.75
2019,24/08/2019,Sheffield United,Leicester,-1,0.28846153846153844,0.28846153846153844,0.423076923076923,0,0,1,1.0499999999999998,0.0,-1.0499999999999998
2019,24/08/2019,Watford,West Ham,-1,0.4605263157894737,0.2697368421052631,0.2697368421052631,1,0,0,-1.4500000000000002,-1.4500000000000002,0.0
2019,24/08/2019,Liverpool,Arsenal,1,0.6344827586206896,0.20689655172413796,0.1586206896551724,1,0,0,-4.5,-3.0999999999999996,1.4000000000000004
2019,25/08/2019,Bournemouth,Man City,-1,0.06277056277056277,0.12554112554112554,0.8116883116883117,0,0,1,13.84,7.5,-6.34
2019,25/08/2019,Tottenham,Newcastle,-1,0.7871972318339101,0.1453287197231834,0.06747404844290657,1,0,0,-12.8,-5.3,7.5
2019,25/08/2019,Wolves,Burnley,0,0.5114491057997661,0.2782884840381081,0.21026241016212607,1,0,0,-2.65,-1.5499999999999998,1.1
2019,31/08/2019,Southampton,Man United,0,0.24967706218859564,0.28750692009595863,0.46281601771544567,0,0,1,1.75,0.5,-1.25
2019,31/08/2019,Chelsea,Sheffield United,0,0.6956875508543532,0.19918633034987795,0.10512611879576893,1,0,0,-7.64,-3.3899999999999997,4.25
2019,31/08/2019,Crystal Palace,Aston Villa,1,0.44134505158578524,0.28754298815437523,0.2711119602598395,1,0,0,-1.35,-1.15,0.20000000000000018
2019,31/08/2019,Leicester,Bournemouth,1,0.5608856088560886,0.23837638376383766,0.2007380073800738,1,0,0,-3.05,-2.3,0.75
2019,31/08/2019,Man City,Brighton,1,0.8699143468950747,0.0939507494646681,0.03613490364025696,1,0,0,-24.92,-8.92,16.0
2019,31/08/2019,Newcastle,Watford,0,0.37874327479443715,0.2913409806111055,0.3299157445944574,1,0,0,-0.3700000000000001,-0.75,-0.3799999999999999
2019,31/08/2019,West Ham,Norwich,1,0.513157894736842,0.24342105263157898,0.24342105263157898,1,0,0,-2.05,-2.05,0.0
2019,31/08/2019,Burnley,Liverpool,-1,0.09965156794425088,0.1721254355400697,0.7282229965156795,0,0,1,8.2,4.0,-4.2
2019,01/09/2019,Everton,Wolves,1,0.4337464251668255,0.29361296472831266,0.27264061010486174,1,0,0,-1.2999999999999998,-1.0499999999999998,0.25
2019,01/09/2019,Arsenal,Tottenham,0,0.3992395437262357,0.2628326996197719,0.33792775665399244,1,0,0,-0.4299999999999997,-1.23,-0.8000000000000003
2019,14/09/2019,Liverpool,Newcastle,1,0.8325171400587659,0.11165523996082272,0.05582761998041136,1,0,0,-15.86,-7.36,8.5
2019,14/09/2019,Brighton,Burnley,0,0.44134505158578524,0.28754298815437523,0.2711119602598395,1,0,0,-1.35,-1.15,0.20000000000000018
