Season,FifaVersion,Date,HomeTeam,AwayTeam,ResultEncoded,HomeFifaOverall,HomeFifaAttack,HomeFifaMidfield,HomeFifaDefence,AwayFifaOverall,AwayFifaAttack,AwayFifaMidfield,AwayFifaDefence,HFA,HomeElo,AwayElo,EloTierHome,EloTierAway
2019,20,09/08/2019,Liverpool,Norwich,1,84,86,83,84,74,76,73,72,56.2,2050.40185547,1634.85314941,1,4
2019,20,10/08/2019,West Ham,Man City,-1,79,80,79,76,86,86,87,83,56.2,1733.62585449,2041.45385742,3,1
2019,20,10/08/2019,Bournemouth,Sheffield United,0,77,79,77,76,73,73,72,73,56.2,1695.07556152,1623.74536133,4,4
2019,20,10/08/2019,Burnley,Southampton,1,77,77,76,76,76,76,77,75,56.2,1685.84460449,1677.9675293,4,4
2019,20,10/08/2019,Crystal Palace,Everton,0,77,79,77,76,79,77,79,79,56.2,1746.71411133,1773.84375,3,3
2019,20,10/08/2019,Watford,Brighton,-1,78,78,79,76,76,77,76,75,56.2,1689.49072266,1620.44067383,4,4
2019,20,10/08/2019,Tottenham,Aston Villa,1,83,86,83,82,75,76,75,73,56.2,1894.99633789,1616.38537598,2,4
2019,20,11/08/2019,Leicester,Wolves,0,78,79,77,77,78,77,80,77,56.2,1742.85253906,1724.2980957,3,3
2019,20,11/08/2019,Newcastle,Arsenal,-1,77,79,75,76,81,86,82,80,56.2,1719.76818848,1871.06481934,3,2
2019,20,11/08/2019,Man United,Chelsea,1,82,82,81,80,81,80,82,80,56.2,1842.4074707,1887.18469238,2,2
2019,20,17/08/2019,Arsenal,Burnley,1,81,86,82,80,77,77,76,76,56.2,1876.90087891,1696.7902832,2,4
2019,20,17/08/2019,Aston Villa,Bournemouth,-1,75,76,75,73,77,79,77,76,56.2,1614.17553711,1691.47058105,4,4
2019,20,17/08/2019,Brighton,West Ham,0,76,77,76,75,79,80,79,76,56.2,1640.47888184,1727.70458984,4,3
2019,20,17/08/2019,Everton,Watford,1,79,77,79,79,78,78,79,76,56.2,1775.0020752,1669.6583252,3,4
2019,20,17/08/2019,Norwich,Newcastle,1,74,76,73,72,77,79,75,76,56.2,1633.75634766,1714.13769531,4,3
2019,20,17/08/2019,Southampton,Liverpool,-1,76,76,77,75,84,86,83,84,56.2,1667.22753906,2051.7043457,4,1
2019,20,17/08/2019,Man City,Tottenham,0,86,86,87,83,83,86,83,82,56.2,2047.58081055,1897.41186523,1,2
2019,20,18/08/2019,Sheffield United,Crystal Palace,1,73,73,72,73,77,79,77,76,56.2,1627.55615234,1745.76147461,4,3
2019,20,18/08/2019,Chelsea,Leicester,0,81,80,82,80,78,79,77,77,56.2,1872.140625,1740.62561035,2,3
2019,20,19/08/2019,Wolves,Man United,0,78,77,80,77,82,82,81,80,56.2,1727.05090332,1857.65710449,3,2
2019,20,23/08/2019,Aston Villa,Everton,1,75,76,75,73,79,77,79,79,56.2,1609.71691895,1782.04272461,4,3
2019,20,24/08/2019,Norwich,Chelsea,-1,74,76,73,72,81,80,82,80,56.2,1648.70080566,1869.96850586,4,2
2019,20,24/08/2019,Brighton,Southampton,-1,76,77,76,75,76,76,77,75,56.2,1644.1192627,1668.41455078,4,4
2019,20,24/08/2019,Man United,Crystal Palace,-1,82,82,81,80,77,79,77,76,56.2,1858.8314209,1739.2833252,2,3
2019,20,24/08/2019,Sheffield United,Leicester,-1,73,73,72,73,78,79,77,77,56.2,1639.97070312,1748.73425293,4,3
2019,20,24/08/2019,Watford,West Ham,-1,78,78,79,76,79,80,79,76,56.2,1668.55407715,1730.00061035,4,3
2019,20,24/08/2019,Liverpool,Arsenal,1,84,86,83,84,81,86,82,80,56.2,2056.45385742,1882.62329102,1,2
2019,20,25/08/2019,Bournemouth,Man City,-1,77,79,77,76,86,86,87,83,56.2,1701.86572266,2045.06591797,3,1
2019,20,25/08/2019,Tottenham,Newcastle,-1,83,86,83,82,77,79,75,76,56.2,1905.86303711,1705.12963867,1,3
2019,20,25/08/2019,Wolves,Burnley,0,78,77,80,77,77,77,76,76,56.2,1741.046875,1697.00439453,3,4
2019,20,31/08/2019,Southampton,Man United,0,76,76,77,75,82,82,81,80,56.2,1682.74060059,1847.31396484,4,2
2019,20,31/08/2019,Chelsea,Sheffield United,0,81,80,82,80,73,73,72,73,56.2,1875.37658691,1634.08447266,2,4
2019,20,31/08/2019,Crystal Palace,Aston Villa,1,77,79,77,76,75,76,75,73,56.2,1753.17590332,1625.97106934,3,4
2019,20,31/08/2019,Leicester,Bournemouth,1,78,79,77,77,77,79,77,76,56.2,1756.99560547,1700.01367188,3,3
2019,20,31/08/2019,Man City,Brighton,1,86,86,87,83,76,77,76,75,56.2,2049.29321289,1632.16833496,1,4
2019,20,31/08/2019,Newcastle,Watford,0,77,79,75,76,78,78,79,76,56.2,1720.53259277,1658.2376709,3,4
2019,20,31/08/2019,West Ham,Norwich,1,79,80,79,76,74,76,73,72,56.2,1742.69213867,1645.66796875,3,4
2019,20,31/08/2019,Burnley,Liverpool,-1,77,77,76,76,84,86,83,84,56.2,1701.16247559,2061.48413086,3,1
2019,20,01/09/2019,Everton,Wolves,1,79,77,79,79,78,77,80,77,56.2,1768.16381836,1742.95507812,3,3
2019,20,01/09/2019,Arsenal,Tottenham,0,81,86,82,80,83,86,83,82,56.2,1879.96801758,1892.83532715,2,2
2019,20,14/09/2019,Liverpool,Newcastle,1,84,86,83,84,77,79,75,76,56.2,2065.00097656,1717.11645508,1,3
2019,20,14/09/2019,Brighton,Burnley,0,76,77,76,75,77,77,76,76,56.2,1630.68847656,1697.64562988,4,4
2019,20,14/09/2019,Man United,Leicester,1,82,82,81,80,78,79,77,77,56.2,1844.42773438,1764.15539551,2,3
2019,20,14/09/2019,Sheffield United,Southampton,-1,73,73,72,73,76,76,77,75,56.2,1641.10388184,1685.62683105,4,4
2019,20,14/09/2019,Tottenham,Crystal Palace,1,83,86,83,82,77,79,77,76,56.2,1894.2088623,1756.89135742,2,3
2019,20,14/09/2019,Wolves,Chelsea,-1,78,77,80,77,81,80,82,80,56.2,1737.02600098,1868.35717773,3,2
2019,20,14/09/2019,Norwich,Man City,1,74,76,73,72,86,86,87,83,56.2,1639.78759766,2050.77294922,4,1
2019,20,15/09/2019,Bournemouth,Everton,1,77,79,77,76,79,77,79,79,56.2,1692.85388184,1774.09289551,4,3
2019,20,15/09/2019,Watford,Arsenal,0,78,78,79,76,81,86,82,80,56.2,1661.65380859,1878.59448242,4,2
