Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
02/08/2019,2019,Luton,Middlesbrough,3,3,D,2,2,D,O Langford,12,17,4,8,14,20,8,11,2,2,0,0,20190802,English Second
03/08/2019,2019,Barnsley,Fulham,1,0,H,1,0,H,A Davies,17,15,4,4,16,14,7,5,3,1,0,0,20190803,English Second
03/08/2019,2019,Blackburn,Charlton,1,2,A,0,1,A,A Woolmer,14,9,2,5,15,13,12,2,0,3,0,0,20190803,English Second
03/08/2019,2019,Brentford,Birmingham,0,1,A,0,1,A,G Ward,15,1,3,1,10,12,6,2,1,3,0,0,20190803,English Second
03/08/2019,2019,Millwall,Preston,1,0,H,1,0,H,S Martin,8,5,3,0,11,18,8,7,2,3,0,0,20190803,English Second
03/08/2019,2019,Reading,Sheffield Weds,1,3,A,0,1,A,J Linington,13,13,4,5,12,15,7,3,0,3,0,1,20190803,English Second
03/08/2019,2019,Stoke,QPR,1,2,A,0,1,A,D Bond,13,5,1,3,18,14,7,0,1,3,0,0,20190803,English Second
03/08/2019,2019,Swansea,Hull,2,1,H,0,1,A,J Brooks,19,12,8,4,9,10,10,4,2,2,0,0,20190803,English Second
03/08/2019,2019,Wigan,Cardiff,3,2,H,0,1,A,D Webb,12,13,4,4,9,15,6,6,2,4,0,0,20190803,English Second
03/08/2019,2019,Nott'm Forest,West Brom,1,2,A,1,2,A,D England,15,12,4,3,8,6,9,5,0,1,0,0,20190803,English Second
04/08/2019,2019,Bristol City,Leeds,1,3,A,0,1,A,T Robinson,13,18,3,4,8,12,4,6,3,2,0,0,20190804,English Second
05/08/2019,2019,Huddersfield,Derby,1,2,A,1,2,A,G Eltringham,14,11,2,3,18,14,8,0,0,0,0,0,20190805,English Second
10/08/2019,2019,Leeds,Nott'm Forest,1,1,D,0,0,D,R Jones,14,6,4,1,12,12,10,3,2,2,0,0,20190810,English Second
10/08/2019,2019,Birmingham,Bristol City,1,1,D,0,0,D,O Langford,12,8,3,5,6,11,5,8,2,3,0,0,20190810,English Second
10/08/2019,2019,Cardiff,Luton,2,1,H,0,0,D,D Bond,16,8,4,2,13,11,3,3,2,2,0,0,20190810,English Second
10/08/2019,2019,Charlton,Stoke,3,1,H,1,1,D,S Hooper,5,12,3,3,10,11,1,4,0,0,0,0,20190810,English Second
10/08/2019,2019,Derby,Swansea,0,0,D,0,0,D,J Gillett,17,13,3,3,8,14,8,3,2,1,0,0,20190810,English Second
10/08/2019,2019,Fulham,Blackburn,2,0,H,1,0,H,K Stroud,12,9,2,0,9,15,5,5,0,2,0,0,20190810,English Second
10/08/2019,2019,Hull,Reading,2,1,H,2,0,H,M Donohue,14,13,5,4,23,12,5,7,2,2,0,0,20190810,English Second
