Rank,Club,Country,Level,Elo,From,To
None,Barnsley,ENG,2,1365.06604004,1946-07-07,1946-09-02
None,Barnsley,ENG,2,1379.49072266,1946-09-03,1946-09-07
None,Barnsley,ENG,2,1381.91210938,1946-09-08,1946-09-09
None,Barnsley,ENG,2,1390.14355469,1946-09-10,1946-09-14
None,Barnsley,ENG,2,1396.44519043,1946-09-15,1946-09-16
None,Barnsley,ENG,2,1401.12756348,1946-09-17,1946-09-21
None,Barnsley,ENG,2,1418.21313477,1946-09-22,1946-09-28
None,Barnsley,ENG,2,1414.49353027,1946-09-29,1946-09-29
None,Barnsley,ENG,2,1431.49353027,1946-09-30,1946-09-30
None,Barnsley,ENG,2,1433.14709473,1946-10-01,1946-10-03
None,Barnsley,ENG,2,1439.14709473,1946-10-04,1946-10-05
None,Barnsley,ENG,2,1439.44189453,1946-10-06,1946-10-12
None,Barnsley,ENG,2,1424.02856445,1946-10-13,1946-10-19
None,Barnsley,ENG,2,1412.21081543,1946-10-20,1946-10-26
None,Barnsley,ENG,2,1420.26708984,1946-10-27,1946-11-02
None,Barnsley,ENG,2,1410.73449707,1946-11-03,1946-11-09
None,Barnsley,ENG,2,1395.46887207,1946-11-10,1946-11-16
None,Barnsley,ENG,2,1398.63623047,1946-11-17,1946-11-23
None,Barnsley,ENG,2,1389.48840332,1946-11-24,1946-11-30
None,Barnsley,ENG,2,1384.77746582,1946-12-01,1946-12-07
None,Barnsley,ENG,2,1393.26098633,1946-12-08,1946-12-14
None,Barnsley,ENG,2,1385.33984375,1946-12-15,1946-12-21
None,Barnsley,ENG,2,1375.23742676,1946-12-22,1946-12-25
None,Barnsley,ENG,2,1373.61376953,1946-12-26,1946-12-26
None,Barnsley,ENG,2,1376.94372559,1946-12-27,1946-12-28
None,Barnsley,ENG,2,1372.11132812,1946-12-29,1947-01-04
None,Barnsley,ENG,2,1358.67858887,1947-01-05,1947-01-18
None,Barnsley,ENG,2,1371.85546875,1947-01-19,1947-02-01
None,Barnsley,ENG,2,1367.03369141,1947-02-02,1947-03-01
