Rank,Club,Country,Level,Elo,From,To
None,Coventry,ENG,2,1365.06604004,1946-07-07,1946-09-02
None,Coventry,ENG,2,1370.26599121,1946-09-03,1946-09-07
None,Coventry,ENG,2,1367.84460449,1946-09-08,1946-09-11
None,Coventry,ENG,2,1360.65527344,1946-09-12,1946-09-14
None,Coventry,ENG,2,1352.91088867,1946-09-15,1946-09-16
None,Coventry,ENG,2,1351.10522461,1946-09-17,1946-09-21
None,Coventry,ENG,2,1359.53820801,1946-09-22,1946-09-28
None,Coventry,ENG,2,1354.27441406,1946-09-29,1946-09-29
None,Coventry,ENG,2,1371.27441406,1946-09-30,1946-10-03
None,Coventry,ENG,2,1377.27441406,1946-10-04,1946-10-05
None,Coventry,ENG,2,1380.37878418,1946-10-06,1946-10-12
None,Coventry,ENG,2,1377.61962891,1946-10-13,1946-10-19
None,Coventry,ENG,2,1372.44189453,1946-10-20,1946-10-26
None,Coventry,ENG,2,1371.08435059,1946-10-27,1946-11-02
None,Coventry,ENG,2,1384.66333008,1946-11-03,1946-11-09
None,Coventry,ENG,2,1382.54125977,1946-11-10,1946-11-16
None,Coventry,ENG,2,1393.8807373,1946-11-17,1946-11-23
None,Coventry,ENG,2,1398.90466309,1946-11-24,1946-11-30
None,Coventry,ENG,2,1393.64990234,1946-12-01,1946-12-07
None,Coventry,ENG,2,1399.54748535,1946-12-08,1946-12-14
None,Coventry,ENG,2,1393.26062012,1946-12-15,1946-12-21
None,Coventry,ENG,2,1391.13684082,1946-12-22,1946-12-25
None,Coventry,ENG,2,1401.58850098,1946-12-26,1946-12-26
None,Coventry,ENG,2,1405.30834961,1946-12-27,1946-12-28
None,Coventry,ENG,2,1389.74938965,1946-12-29,1947-01-04
None,Coventry,ENG,2,1403.18212891,1947-01-05,1947-01-18
None,Coventry,ENG,2,1410.7310791,1947-01-19,1947-02-01
None,Coventry,ENG,2,1408.13427734,1947-02-02,1947-02-05
None,Coventry,ENG,2,1397.88415527,1947-02-06,1947-02-15
None,Coventry,ENG,2,1392.37402344,1947-02-16,1947-03-15
None,Coventry,ENG,2,1381.01574707,1947-03-16,1947-03-22
None,Coventry,ENG,2,1382.17773438,1947-03-23,1947-03-29
None,Coventry,ENG,2,1393.19274902,1947-03-30,1947-04-05
None,Coventry,ENG,2,1402.20617676,1947-04-06,1947-04-07
None,Coventry,ENG,2,1411.17895508,1947-04-08,1947-04-08
None,Coventry,ENG,2,1414.80822754,1947-04-09,1947-04-12
None,Coventry,ENG,2,1407.2833252,1947-04-13,1947-04-13
None,Coventry,ENG,2,1397.2833252,1947-04-14,1947-04-19
None,Coventry,ENG,2,1404.30493164,1947-04-20,1947-04-26
None,Coventry,ENG,2,1406.58190918,1947-04-27,1947-05-03
None,Coventry,ENG,2,1409.66906738,1947-05-04,1947-05-04
None,Coventry,ENG,2,1413.66906738,1947-05-05,1947-05-10
None,Coventry,ENG,2,1418.97814941,1947-05-11,1947-05-17
None,Coventry,ENG,2,1422.49816895,1947-05-18,1947-05-20
None,Coventry,ENG,2,1409.49816895,1947-05-21,1947-05-24
None,Coventry,ENG,2,1417.77429199,1947-05-25,1947-05-26
None,Coventry,ENG,2,1429.59191895,1947-05-27,1947-08-23
None,Coventry,ENG,2,1437.16210938,1947-08-24,1947-08-25
None,Coventry,ENG,2,1428.10595703,1947-08-26,1947-08-30
None,Coventry,ENG,2,1445.73278809,1947-08-31,1947-09-03
None,Coventry,ENG,2,1450.11364746,1947-09-04,1947-09-06
None,Coventry,ENG,2,1438.42944336,1947-09-07,1947-09-10
None,Coventry,ENG,2,1431.72607422,1947-09-11,1947-09-13
None,Coventry,ENG,2,1427.0838623,1947-09-14,1947-09-15
None,Coventry,ENG,2,1433.25842285,1947-09-16,1947-09-20
None,Coventry,ENG,2,1440.69274902,1947-09-21,1947-09-27
None,Coventry,ENG,2,1438.69702148,1947-09-28,1947-10-04
None,Coventry,ENG,2,1441.85876465,1947-10-05,1947-10-11
None,Coventry,ENG,2,1437.74987793,1947-10-12,1947-10-18
None,Coventry,ENG,2,1428.73498535,1947-10-19,1947-10-19
None,Coventry,ENG,2,1456.73498535,1947-10-20,1947-10-25
None,Coventry,ENG,2,1459.98059082,1947-10-26,1947-11-01
None,Coventry,ENG,2,1445.96203613,1947-11-02,1947-11-08
None,Coventry,ENG,2,1439.29272461,1947-11-09,1947-11-15
None,Coventry,ENG,2,1440.4309082,1947-11-16,1947-11-22
None,Coventry,ENG,2,1452.8026123,1947-11-23,1947-11-29
None,Coventry,ENG,2,1448.81762695,1947-11-30,1947-12-06
None,Coventry,ENG,2,1436.09533691,1947-12-07,1947-12-13
None,Coventry,ENG,2,1431.26940918,1947-12-14,1947-12-20
None,Coventry,ENG,2,1441.11889648,1947-12-21,1947-12-25
None,Coventry,ENG,2,1445.30639648,1947-12-26,1947-12-26
None,Coventry,ENG,2,1454.34606934,1947-12-27,1948-01-03
None,Coventry,ENG,2,1461.24206543,1948-01-04,1948-01-17
None,Coventry,ENG,2,1462.67443848,1948-01-18,1948-01-31
None,Coventry,ENG,2,1451.08117676,1948-02-01,1948-02-14
None,Coventry,ENG,2,1439.80993652,1948-02-15,1948-02-21
None,Coventry,ENG,2,1438.34057617,1948-02-22,1948-02-28
None,Coventry,ENG,2,1440.63232422,1948-02-29,1948-03-06
None,Coventry,ENG,2,1430.85888672,1948-03-07,1948-03-13
None,Coventry,ENG,2,1430.94262695,1948-03-14,1948-03-20
None,Coventry,ENG,2,1427.06005859,1948-03-21,1948-03-27
None,Coventry,ENG,2,1429.18823242,1948-03-28,1948-03-29
None,Coventry,ENG,2,1421.99816895,1948-03-30,1948-03-30
None,Coventry,ENG,2,1417.97546387,1948-03-31,1948-04-03
None,Coventry,ENG,2,1423.13134766,1948-04-04,1948-04-10
None,Coventry,ENG,2,1427.30297852,1948-04-11,1948-04-11
None,Coventry,ENG,2,1450.30297852,1948-04-12,1948-04-17
None,Coventry,ENG,2,1447.84545898,1948-04-18,1948-04-24
None,Coventry,ENG,2,1430.49841309,1948-04-25,1948-04-28
None,Coventry,ENG,2,1445.14208984,1948-04-29,1948-05-01
None,Coventry,ENG,2,1455.4083252,1948-05-02,1948-05-17
None,Coventry,ENG,2,1482.4083252,1948-05-18,1948-08-21
None,Coventry,ENG,2,1484.85449219,1948-08-22,1948-08-23
None,Coventry,ENG,2,1493.12695312,1948-08-24,1948-08-28
None,Coventry,ENG,2,1483.17724609,1948-08-29,1948-08-30
None,Coventry,ENG,2,1471.63757324,1948-08-31,1948-09-04
None,Coventry,ENG,2,1461.35693359,1948-09-05,1948-09-06
None,Coventry,ENG,2,1467.64221191,1948-09-07,1948-09-11
None,Coventry,ENG,2,1475.56152344,1948-09-12,1948-09-13
None,Coventry,ENG,2,1477.75170898,1948-09-14,1948-09-18
None,Coventry,ENG,2,1468.70007324,1948-09-19,1948-09-25
None,Coventry,ENG,2,1459.99060059,1948-09-26,1948-10-02
None,Coventry,ENG,2,1440.44091797,1948-10-03,1948-10-09
None,Coventry,ENG,2,1434.08496094,1948-10-10,1948-10-10
None,Coventry,ENG,2,1447.08496094,1948-10-11,1948-10-16
None,Coventry,ENG,2,1461.41918945,1948-10-17,1948-10-23
None,Coventry,ENG,2,1453.12988281,1948-10-24,1948-10-30
None,Coventry,ENG,2,1442.41577148,1948-10-31,1948-11-06
None,Coventry,ENG,2,1437.99023438,1948-11-07,1948-11-11
None,Coventry,ENG,2,1441.99023438,1948-11-12,1948-11-13
None,Coventry,ENG,2,1439.35473633,1948-11-14,1948-11-20
None,Coventry,ENG,2,1434.90185547,1948-11-21,1948-11-27
None,Coventry,ENG,2,1425.14111328,1948-11-28,1948-12-04
None,Coventry,ENG,2,1445.12817383,1948-12-05,1948-12-11
None,Coventry,ENG,2,1454.1496582,1948-12-12,1948-12-18
None,Coventry,ENG,2,1460.53027344,1948-12-19,1948-12-25
None,Coventry,ENG,2,1475.36096191,1948-12-26,1948-12-27
None,Coventry,ENG,2,1479.85681152,1948-12-28,1949-01-01
None,Coventry,ENG,2,1471.97473145,1949-01-02,1949-01-15
None,Coventry,ENG,2,1479.78894043,1949-01-16,1949-01-22
None,Coventry,ENG,2,1475.05371094,1949-01-23,1949-02-05
None,Coventry,ENG,2,1471.3815918,1949-02-06,1949-02-19
