Rank,Club,Country,Level,Elo,From,To
None,Nott'm Forest,ENG,2,1365.06604,07/07/1946,05/09/1946
None,Nott'm Forest,ENG,2,1350.772461,06/09/1946,07/09/1946
None,Nott'm Forest,ENG,2,1363.533325,08/09/1946,09/09/1946
None,Nott'm Forest,ENG,2,1358.077148,10/09/1946,14/09/1946
None,Nott'm Forest,ENG,2,1349.494019,15/09/1946,21/09/1946
None,Nott'm Forest,ENG,2,1357.833984,22/09/1946,28/09/1946
None,Nott'm Forest,ENG,2,1363.097778,29/09/1946,29/09/1946
None,Nott'm Forest,ENG,2,1380.097778,30/09/1946,03/10/1946
None,Nott'm Forest,ENG,2,1386.097778,04/10/1946,05/10/1946
None,Nott'm Forest,ENG,2,1374.229248,06/10/1946,12/10/1946
None,Nott'm Forest,ENG,2,1372.776978,13/10/1946,19/10/1946
None,Nott'm Forest,ENG,2,1365.655762,20/10/1946,26/10/1946
None,Nott'm Forest,ENG,2,1374.126343,27/10/1946,02/11/1946
None,Nott'm Forest,ENG,2,1377.845703,03/11/1946,09/11/1946
None,Nott'm Forest,ENG,2,1366.338623,10/11/1946,16/11/1946
None,Nott'm Forest,ENG,2,1393.605469,17/11/1946,23/11/1946
None,Nott'm Forest,ENG,2,1384.635132,24/11/1946,30/11/1946
None,Nott'm Forest,ENG,2,1390.716187,01/12/1946,07/12/1946
None,Nott'm Forest,ENG,2,1387.672485,08/12/1946,21/12/1946
None,Nott'm Forest,ENG,2,1394.92749,22/12/1946,25/12/1946
None,Nott'm Forest,ENG,2,1387.598511,26/12/1946,26/12/1946
None,Nott'm Forest,ENG,2,1395.198853,27/12/1946,28/12/1946
None,Nott'm Forest,ENG,2,1400.03125,29/12/1946,01/01/1947
None,Nott'm Forest,ENG,2,1392.437622,02/01/1947,04/01/1947
None,Nott'm Forest,ENG,2,1405.666992,05/01/1947,18/01/1947
None,Nott'm Forest,ENG,2,1418.273315,19/01/1947,29/01/1947
None,Nott'm Forest,ENG,2,1412.689209,30/01/1947,01/02/1947
None,Nott'm Forest,ENG,2,1415.285889,02/02/1947,01/03/1947
None,Nott'm Forest,ENG,2,1418.625244,02/03/1947,15/03/1947
None,Nott'm Forest,ENG,2,1404.215332,16/03/1947,29/03/1947
None,Nott'm Forest,ENG,2,1401.14978,30/03/1947,04/04/1947
None,Nott'm Forest,ENG,2,1395.085938,05/04/1947,05/04/1947
None,Nott'm Forest,ENG,2,1399.945923,06/04/1947,07/04/1947
None,Nott'm Forest,ENG,2,1398.561401,08/04/1947,12/04/1947
None,Nott'm Forest,ENG,2,1390.391235,13/04/1947,13/04/1947
None,Nott'm Forest,ENG,2,1380.391235,14/04/1947,19/04/1947
None,Nott'm Forest,ENG,2,1385.960327,20/04/1947,26/04/1947
None,Nott'm Forest,ENG,2,1374.8927,27/04/1947,03/05/1947
None,Nott'm Forest,ENG,2,1370.959473,04/05/1947,04/05/1947
None,Nott'm Forest,ENG,2,1374.959473,05/05/1947,10/05/1947
None,Nott'm Forest,ENG,2,1375.305542,11/05/1947,17/05/1947
None,Nott'm Forest,ENG,2,1366.32312,18/05/1947,20/05/1947
None,Nott'm Forest,ENG,2,1353.32312,21/05/1947,26/05/1947
None,Nott'm Forest,ENG,2,1373.821533,27/05/1947,27/05/1947
None,Nott'm Forest,ENG,2,1381.013794,28/05/1947,31/05/1947
None,Nott'm Forest,ENG,2,1389.460693,01/06/1947,14/06/1947
None,Nott'm Forest,ENG,2,1400.015259,15/06/1947,23/08/1947
None,Nott'm Forest,ENG,2,1404.773804,24/08/1947,27/08/1947
None,Nott'm Forest,ENG,2,1394.321899,28/08/1947,30/08/1947
None,Nott'm Forest,ENG,2,1389.017334,31/08/1947,03/09/1947
None,Nott'm Forest,ENG,2,1382.488037,04/09/1947,06/09/1947
None,Nott'm Forest,ENG,2,1369.726074,07/09/1947,10/09/1947
None,Nott'm Forest,ENG,2,1363.260742,11/09/1947,13/09/1947
None,Nott'm Forest,ENG,2,1355.50415,14/09/1947,17/09/1947
None,Nott'm Forest,ENG,2,1364.344604,18/09/1947,20/09/1947
None,Nott'm Forest,ENG,2,1371.734741,21/09/1947,27/09/1947
None,Nott'm Forest,ENG,2,1370.700562,28/09/1947,04/10/1947
None,Nott'm Forest,ENG,2,1360.035278,05/10/1947,11/10/1947
None,Nott'm Forest,ENG,2,1353.770508,12/10/1947,18/10/1947
None,Nott'm Forest,ENG,2,1360.904663,19/10/1947,19/10/1947
None,Nott'm Forest,ENG,2,1388.904663,20/10/1947,25/10/1947
None,Nott'm Forest,ENG,2,1392.487183,26/10/1947,01/11/1947
None,Nott'm Forest,ENG,2,1406.505859,02/11/1947,08/11/1947
None,Nott'm Forest,ENG,2,1407.889771,09/11/1947,15/11/1947
None,Nott'm Forest,ENG,2,1397.16687,16/11/1947,22/11/1947
None,Nott'm Forest,ENG,2,1399.849487,23/11/1947,29/11/1947
None,Nott'm Forest,ENG,2,1397.397095,30/11/1947,06/12/1947
None,Nott'm Forest,ENG,2,1398.737183,07/12/1947,13/12/1947
None,Nott'm Forest,ENG,2,1388.672119,14/12/1947,20/12/1947
None,Nott'm Forest,ENG,2,1383.325684,21/12/1947,26/12/1947
None,Nott'm Forest,ENG,2,1373.806152,27/12/1947,27/12/1947
None,Nott'm Forest,ENG,2,1379.992554,28/12/1947,03/01/1948
None,Nott'm Forest,ENG,2,1386.275513,04/01/1948,17/01/1948
None,Nott'm Forest,ENG,2,1391.084473,18/01/1948,31/01/1948
None,Nott'm Forest,ENG,2,1398.99353,01/02/1948,14/02/1948
None,Nott'm Forest,ENG,2,1397.306396,15/02/1948,21/02/1948
None,Nott'm Forest,ENG,2,1389.304565,22/02/1948,28/02/1948
None,Nott'm Forest,ENG,2,1395.604248,29/02/1948,06/03/1948
None,Nott'm Forest,ENG,2,1398.499634,07/03/1948,13/03/1948
None,Nott'm Forest,ENG,2,1384.372803,14/03/1948,20/03/1948
None,Nott'm Forest,ENG,2,1388.255249,21/03/1948,26/03/1948
