Rank,Club,Country,Level,Elo,From,To
None,Peterboro,ENG,2,1425.93859863,1992-07-01,1992-08-15
None,Peterboro,ENG,2,1434.97180176,1992-08-16,1992-08-22
None,Peterboro,ENG,2,1445.18005371,1992-08-23,1992-08-29
None,Peterboro,ENG,2,1434.72680664,1992-08-30,1992-09-05
None,Peterboro,ENG,2,1430.58447266,1992-09-06,1992-09-12
None,Peterboro,ENG,2,1421.50805664,1992-09-13,1992-09-15
None,Peterboro,ENG,2,1421.03662109,1992-09-16,1992-09-16
None,Peterboro,ENG,2,1407.4954834,1992-09-17,1992-09-19
None,Peterboro,ENG,2,1418.80944824,1992-09-20,1992-09-26
None,Peterboro,ENG,2,1411.32189941,1992-09-27,1992-09-28
None,Peterboro,ENG,2,1411.39074707,1992-09-29,1992-09-29
None,Peterboro,ENG,2,1409.02844238,1992-09-30,1992-09-30
None,Peterboro,ENG,2,1409.08728027,1992-10-01,1992-10-01
None,Peterboro,ENG,2,1409.09521484,1992-10-02,1992-10-03
None,Peterboro,ENG,2,1423.39404297,1992-10-04,1992-10-09
None,Peterboro,ENG,2,1431.1262207,1992-10-10,1992-10-10
None,Peterboro,ENG,2,1428.34521484,1992-10-11,1992-10-18
None,Peterboro,ENG,2,1446.57702637,1992-10-19,1992-10-20
None,Peterboro,ENG,2,1441.78308105,1992-10-21,1992-10-21
None,Peterboro,ENG,2,1441.08935547,1992-10-22,1992-10-22
None,Peterboro,ENG,2,1436.29101562,1992-10-23,1992-10-24
None,Peterboro,ENG,2,1428.1171875,1992-10-25,1992-10-30
None,Peterboro,ENG,2,1431.68603516,1992-10-31,1992-11-03
None,Peterboro,ENG,2,1442.81530762,1992-11-04,1992-11-04
None,Peterboro,ENG,2,1419.73840332,1992-11-05,1992-11-07
None,Peterboro,ENG,2,1430.18920898,1992-11-08,1992-11-21
None,Peterboro,ENG,2,1426.21887207,1992-11-22,1992-11-29
None,Peterboro,ENG,2,1425.89953613,1992-11-30,1992-12-12
None,Peterboro,ENG,2,1425.65930176,1992-12-13,1992-12-19
None,Peterboro,ENG,2,1434.29187012,1992-12-20,1992-12-28
None,Peterboro,ENG,2,1432.5670166,1992-12-29,1993-01-09
None,Peterboro,ENG,2,1430.5098877,1993-01-10,1993-01-16
None,Peterboro,ENG,2,1423.39331055,1993-01-17,1993-01-22
None,Peterboro,ENG,2,1412.72045898,1993-01-23,1993-01-27
None,Peterboro,ENG,2,1405.22521973,1993-01-28,1993-01-30
None,Peterboro,ENG,2,1411.0,1993-01-31,1993-02-06
None,Peterboro,ENG,2,1422.8885498,1993-02-07,1993-02-09
None,Peterboro,ENG,2,1419.79003906,1993-02-10,1993-02-13
None,Peterboro,ENG,2,1410.23291016,1993-02-14,1993-02-21
None,Peterboro,ENG,2,1404.9987793,1993-02-22,1993-02-27
None,Peterboro,ENG,2,1414.60559082,1993-02-28,1993-03-06
None,Peterboro,ENG,2,1421.28027344,1993-03-07,1993-03-09
None,Peterboro,ENG,2,1425.89245605,1993-03-10,1993-03-13
None,Peterboro,ENG,2,1415.05126953,1993-03-14,1993-03-16
None,Peterboro,ENG,2,1416.99609375,1993-03-17,1993-03-20
None,Peterboro,ENG,2,1414.71032715,1993-03-21,1993-03-24
None,Peterboro,ENG,2,1404.52844238,1993-03-25,1993-03-27
None,Peterboro,ENG,2,1402.88671875,1993-03-28,1993-04-03
None,Peterboro,ENG,2,1399.14147949,1993-04-04,1993-04-06
None,Peterboro,ENG,2,1392.91320801,1993-04-07,1993-04-10
None,Peterboro,ENG,2,1398.99194336,1993-04-11,1993-04-12
None,Peterboro,ENG,2,1410.44287109,1993-04-13,1993-04-17
None,Peterboro,ENG,2,1407.47949219,1993-04-18,1993-04-20
None,Peterboro,ENG,2,1401.41027832,1993-04-21,1993-04-24
None,Peterboro,ENG,2,1416.90185547,1993-04-25,1993-05-01
None,Peterboro,ENG,2,1420.89038086,1993-05-02,1993-05-08
None,Peterboro,ENG,2,1420.37207031,1993-05-09,1993-08-14
None,Peterboro,ENG,2,1416.52709961,1993-08-15,1993-08-17
None,Peterboro,ENG,2,1427.02880859,1993-08-18,1993-08-21
None,Peterboro,ENG,2,1424.86047363,1993-08-22,1993-08-28
None,Peterboro,ENG,2,1415.22619629,1993-08-29,1993-09-04
None,Peterboro,ENG,2,1404.77258301,1993-09-05,1993-09-11
None,Peterboro,ENG,2,1399.04284668,1993-09-12,1993-09-15
None,Peterboro,ENG,2,1415.5526123,1993-09-16,1993-09-18
None,Peterboro,ENG,2,1424.12097168,1993-09-19,1993-09-25
None,Peterboro,ENG,2,1422.23266602,1993-09-26,1993-09-28
None,Peterboro,ENG,2,1421.00390625,1993-09-29,1993-09-29
None,Peterboro,ENG,2,1424.87719727,1993-09-30,1993-10-02
None,Peterboro,ENG,2,1415.7668457,1993-10-03,1993-10-09
None,Peterboro,ENG,2,1416.74145508,1993-10-10,1993-10-16
