Rank,Club,Country,Level,Elo,From,To
None,Plymouth,ENG,2,1423.6697998,2023-07-01,2023-08-05
None,Plymouth,ENG,2,1436.61022949,2023-08-06,2023-08-12
None,Plymouth,ENG,2,1440.66552734,2023-08-13,2023-08-19
None,Plymouth,ENG,2,1435.94348145,2023-08-20,2023-08-23
None,Plymouth,ENG,2,1436.09338379,2023-08-24,2023-08-26
None,Plymouth,ENG,2,1430.32592773,2023-08-27,2023-08-31
None,Plymouth,ENG,2,1430.41882324,2023-09-01,2023-09-02
None,Plymouth,ENG,2,1446.66015625,2023-09-03,2023-09-16
None,Plymouth,ENG,2,1441.59887695,2023-09-17,2023-09-19
None,Plymouth,ENG,2,1432.85388184,2023-09-20,2023-09-20
None,Plymouth,ENG,2,1433.40429688,2023-09-21,2023-09-21
None,Plymouth,ENG,2,1424.85754395,2023-09-22,2023-09-23
None,Plymouth,ENG,2,1443.97497559,2023-09-24,2023-09-30
None,Plymouth,ENG,2,1447.57348633,2023-10-01,2023-10-03
None,Plymouth,ENG,2,1429.05432129,2023-10-04,2023-10-04
None,Plymouth,ENG,2,1433.87438965,2023-10-05,2023-10-05
None,Plymouth,ENG,2,1436.69482422,2023-10-06,2023-10-07
None,Plymouth,ENG,2,1427.11462402,2023-10-08,2023-10-21
None,Plymouth,ENG,2,1431.36401367,2023-10-22,2023-10-24
None,Plymouth,ENG,2,1433.74475098,2023-10-25,2023-10-25
None,Plymouth,ENG,2,1440.19812012,2023-10-26,2023-10-26
None,Plymouth,ENG,2,1441.56384277,2023-10-27,2023-10-28
None,Plymouth,ENG,2,1436.50744629,2023-10-29,2023-11-04
None,Plymouth,ENG,2,1438.53796387,2023-11-05,2023-11-07
None,Plymouth,ENG,2,1435.68518066,2023-11-08,2023-11-08
None,Plymouth,ENG,2,1433.35046387,2023-11-09,2023-11-09
None,Plymouth,ENG,2,1433.08227539,2023-11-10,2023-11-11
None,Plymouth,ENG,2,1430.5526123,2023-11-12,2023-11-25
None,Plymouth,ENG,2,1443.8972168,2023-11-26,2023-11-28
None,Plymouth,ENG,2,1440.42419434,2023-11-29,2023-11-29
None,Plymouth,ENG,2,1441.86547852,2023-11-30,2023-11-30
None,Plymouth,ENG,2,1444.13317871,2023-12-01,2023-12-02
None,Plymouth,ENG,2,1451.4720459,2023-12-03,2023-12-09
None,Plymouth,ENG,2,1448.19604492,2023-12-10,2023-12-12
None,Plymouth,ENG,2,1445.91564941,2023-12-13,2023-12-13
None,Plymouth,ENG,2,1443.78222656,2023-12-14,2023-12-14
None,Plymouth,ENG,2,1440.79650879,2023-12-15,2023-12-16
None,Plymouth,ENG,2,1446.05273438,2023-12-17,2023-12-23
None,Plymouth,ENG,2,1444.19567871,2023-12-24,2023-12-26
None,Plymouth,ENG,2,1446.49255371,2023-12-27,2023-12-29
None,Plymouth,ENG,2,1443.65673828,2023-12-30,2023-12-31
None,Plymouth,ENG,2,1443.65673828,2024-01-01,2024-01-01
