Rank,Club,Country,Level,Elo,From,To
None,Preston,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Preston,ENG,1,1556.31469727,1946-09-01,1946-09-04
None,Preston,ENG,1,1545.63842773,1946-09-05,1946-09-07
None,Preston,ENG,1,1555.65930176,1946-09-08,1946-09-14
None,Preston,ENG,1,1566.49645996,1946-09-15,1946-09-16
None,Preston,ENG,1,1545.48181152,1946-09-17,1946-09-21
None,Preston,ENG,1,1538.78601074,1946-09-22,1946-09-28
None,Preston,ENG,1,1525.01330566,1946-09-29,1946-09-29
None,Preston,ENG,1,1542.01330566,1946-09-30,1946-10-03
None,Preston,ENG,1,1548.01330566,1946-10-04,1946-10-05
None,Preston,ENG,1,1552.49731445,1946-10-06,1946-10-12
None,Preston,ENG,1,1562.74267578,1946-10-13,1946-10-19
None,Preston,ENG,1,1572.58081055,1946-10-20,1946-10-26
None,Preston,ENG,1,1580.96899414,1946-10-27,1946-11-02
None,Preston,ENG,1,1583.24572754,1946-11-03,1946-11-09
None,Preston,ENG,1,1589.26953125,1946-11-10,1946-11-16
None,Preston,ENG,1,1592.48620605,1946-11-17,1946-11-23
None,Preston,ENG,1,1591.53039551,1946-11-24,1946-11-30
None,Preston,ENG,1,1610.02416992,1946-12-01,1946-12-07
None,Preston,ENG,1,1620.1973877,1946-12-08,1946-12-14
None,Preston,ENG,1,1621.32580566,1946-12-15,1946-12-21
None,Preston,ENG,1,1625.29345703,1946-12-22,1946-12-25
None,Preston,ENG,1,1633.91918945,1946-12-26,1946-12-26
None,Preston,ENG,1,1629.75939941,1946-12-27,1946-12-28
None,Preston,ENG,1,1643.05224609,1946-12-29,1947-01-01
None,Preston,ENG,1,1651.11120605,1947-01-02,1947-01-04
None,Preston,ENG,1,1657.41381836,1947-01-05,1947-01-18
None,Preston,ENG,1,1656.59924316,1947-01-19,1947-01-29
None,Preston,ENG,1,1645.85986328,1947-01-30,1947-02-01
None,Preston,ENG,1,1633.25024414,1947-02-02,1947-02-15
None,Preston,ENG,1,1620.38647461,1947-02-16,1947-02-22
None,Preston,ENG,1,1626.5447998,1947-02-23,1947-03-15
None,Preston,ENG,1,1614.93359375,1947-03-16,1947-03-22
None,Preston,ENG,1,1622.65625,1947-03-23,1947-03-29
None,Preston,ENG,1,1616.4810791,1947-03-30,1947-04-04
None,Preston,ENG,1,1614.59887695,1947-04-05,1947-04-05
None,Preston,ENG,1,1611.43518066,1947-04-06,1947-04-07
None,Preston,ENG,1,1603.84399414,1947-04-08,1947-04-12
None,Preston,ENG,1,1613.34106445,1947-04-13,1947-04-13
None,Preston,ENG,1,1603.34106445,1947-04-14,1947-04-19
None,Preston,ENG,1,1600.59521484,1947-04-20,1947-04-26
None,Preston,ENG,1,1593.05541992,1947-04-27,1947-05-04
None,Preston,ENG,1,1597.05541992,1947-05-05,1947-05-10
None,Preston,ENG,1,1596.40869141,1947-05-11,1947-05-17
None,Preston,ENG,1,1589.71557617,1947-05-18,1947-05-20
None,Preston,ENG,1,1576.71557617,1947-05-21,1947-05-24
None,Preston,ENG,1,1588.38549805,1947-05-25,1947-05-26
None,Preston,ENG,1,1601.63647461,1947-05-27,1947-08-23
None,Preston,ENG,1,1596.87084961,1947-08-24,1947-08-25
