Rank,Club,Country,Level,Elo,From,To
None,Rotherham,ENG,2,1318.44116211,1951-07-01,1951-08-18
None,Rotherham,ENG,2,1308.30285645,1951-08-19,1951-08-20
None,Rotherham,ENG,2,1327.70275879,1951-08-21,1951-08-25
None,Rotherham,ENG,2,1323.04272461,1951-08-26,1951-08-27
None,Rotherham,ENG,2,1335.06994629,1951-08-28,1951-09-01
None,Rotherham,ENG,2,1343.9720459,1951-09-02,1951-09-03
None,Rotherham,ENG,2,1339.90405273,1951-09-04,1951-09-08
None,Rotherham,ENG,2,1346.22106934,1951-09-09,1951-09-15
None,Rotherham,ENG,2,1356.96435547,1951-09-16,1951-09-22
None,Rotherham,ENG,2,1375.79675293,1951-09-23,1951-09-29
None,Rotherham,ENG,2,1385.08496094,1951-09-30,1951-10-06
None,Rotherham,ENG,2,1381.86340332,1951-10-07,1951-10-13
None,Rotherham,ENG,2,1378.99182129,1951-10-14,1951-10-20
None,Rotherham,ENG,2,1388.2232666,1951-10-21,1951-10-21
None,Rotherham,ENG,2,1380.2232666,1951-10-22,1951-10-27
None,Rotherham,ENG,2,1382.33776855,1951-10-28,1951-11-03
None,Rotherham,ENG,2,1388.92590332,1951-11-04,1951-11-10
None,Rotherham,ENG,2,1397.84960938,1951-11-11,1951-11-17
None,Rotherham,ENG,2,1407.19750977,1951-11-18,1951-11-24
None,Rotherham,ENG,2,1409.50866699,1951-11-25,1951-12-01
None,Rotherham,ENG,2,1408.32800293,1951-12-02,1951-12-08
None,Rotherham,ENG,2,1392.96533203,1951-12-09,1951-12-15
None,Rotherham,ENG,2,1385.25866699,1951-12-16,1951-12-22
None,Rotherham,ENG,2,1384.08325195,1951-12-23,1951-12-25
None,Rotherham,ENG,2,1375.75231934,1951-12-26,1951-12-26
None,Rotherham,ENG,2,1367.52612305,1951-12-27,1951-12-29
None,Rotherham,ENG,2,1385.59375,1951-12-30,1952-01-05
None,Rotherham,ENG,2,1383.63684082,1952-01-06,1952-01-19
None,Rotherham,ENG,2,1375.57568359,1952-01-20,1952-01-26
