Rank,Club,Country,Level,Elo,From,To
None,Wycombe,ENG,2,1356.68652344,2020-09-12,2020-09-12
None,Wycombe,ENG,2,1347.43798828,2020-09-13,2020-09-17
None,Wycombe,ENG,2,1347.80822754,2020-09-18,2020-09-19
None,Wycombe,ENG,2,1338.75756836,2020-09-20,2020-09-24
None,Wycombe,ENG,2,1339.09350586,2020-09-25,2020-09-26
None,Wycombe,ENG,2,1333.01916504,2020-09-27,2020-10-01
None,Wycombe,ENG,2,1333.82849121,2020-10-02,2020-10-03
None,Wycombe,ENG,2,1327.02697754,2020-10-04,2020-10-17
None,Wycombe,ENG,2,1322.3046875,2020-10-18,2020-10-20
None,Wycombe,ENG,2,1322.61657715,2020-10-21,2020-10-21
None,Wycombe,ENG,2,1325.14709473,2020-10-22,2020-10-22
None,Wycombe,ENG,2,1329.34985352,2020-10-23,2020-10-24
None,Wycombe,ENG,2,1326.49328613,2020-10-25,2020-10-27
None,Wycombe,ENG,2,1335.84594727,2020-10-28,2020-10-28
None,Wycombe,ENG,2,1343.14782715,2020-10-29,2020-10-29
None,Wycombe,ENG,2,1340.28430176,2020-10-30,2020-10-31
None,Wycombe,ENG,2,1350.37243652,2020-11-01,2020-11-03
None,Wycombe,ENG,2,1355.02954102,2020-11-04,2020-11-04
None,Wycombe,ENG,2,1363.16967773,2020-11-05,2020-11-05
None,Wycombe,ENG,2,1367.02294922,2020-11-06,2020-11-07
None,Wycombe,ENG,2,1360.33239746,2020-11-08,2020-11-21
None,Wycombe,ENG,2,1365.90319824,2020-11-22,2020-11-24
None,Wycombe,ENG,2,1369.9876709,2020-11-25,2020-11-25
None,Wycombe,ENG,2,1364.78552246,2020-11-26,2020-11-26
None,Wycombe,ENG,2,1366.23498535,2020-11-27,2020-11-28
None,Wycombe,ENG,2,1369.5604248,2020-11-29,2020-12-01
None,Wycombe,ENG,2,1369.13818359,2020-12-02,2020-12-02
None,Wycombe,ENG,2,1365.85339355,2020-12-03,2020-12-03
None,Wycombe,ENG,2,1361.3626709,2020-12-04,2020-12-05
None,Wycombe,ENG,2,1365.87219238,2020-12-06,2020-12-08
None,Wycombe,ENG,2,1361.31018066,2020-12-09,2020-12-09
None,Wycombe,ENG,2,1354.86413574,2020-12-10,2020-12-10
None,Wycombe,ENG,2,1356.67883301,2020-12-11,2020-12-12
None,Wycombe,ENG,2,1348.85461426,2020-12-13,2020-12-15
None,Wycombe,ENG,2,1347.08886719,2020-12-16,2020-12-19
None,Wycombe,ENG,2,1348.65966797,2020-12-20,2020-12-26
None,Wycombe,ENG,2,1344.40441895,2020-12-27,2020-12-29
None,Wycombe,ENG,2,1356.63354492,2020-12-30,2021-01-02
None,Wycombe,ENG,2,1349.43225098,2021-01-03,2021-01-30
None,Wycombe,ENG,2,1344.98339844,2021-01-31,2021-02-02
None,Wycombe,ENG,2,1345.90588379,2021-02-03,2021-02-06
None,Wycombe,ENG,2,1336.32263184,2021-02-07,2021-02-09
None,Wycombe,ENG,2,1329.34899902,2021-02-10,2021-02-13
None,Wycombe,ENG,2,1341.22998047,2021-02-14,2021-02-16
None,Wycombe,ENG,2,1339.69799805,2021-02-17,2021-02-18
None,Wycombe,ENG,2,1343.99267578,2021-02-19,2021-02-20
None,Wycombe,ENG,2,1349.34667969,2021-02-21,2021-02-23
None,Wycombe,ENG,2,1363.7376709,2021-02-24,2021-02-24
None,Wycombe,ENG,2,1365.25500488,2021-02-25,2021-02-25
None,Wycombe,ENG,2,1359.75927734,2021-02-26,2021-02-28
None,Wycombe,ENG,2,1355.37341309,2021-03-01,2021-03-03
None,Wycombe,ENG,2,1352.51318359,2021-03-04,2021-03-06
None,Wycombe,ENG,2,1346.90783691,2021-03-07,2021-03-09
None,Wycombe,ENG,2,1342.86743164,2021-03-10,2021-03-10
None,Wycombe,ENG,2,1345.25537109,2021-03-11,2021-03-11
None,Wycombe,ENG,2,1348.64575195,2021-03-12,2021-03-13
None,Wycombe,ENG,2,1359.55517578,2021-03-14,2021-03-16
None,Wycombe,ENG,2,1359.70751953,2021-03-17,2021-03-17
None,Wycombe,ENG,2,1357.8704834,2021-03-18,2021-03-18
None,Wycombe,ENG,2,1352.14770508,2021-03-19,2021-03-20
None,Wycombe,ENG,2,1354.76464844,2021-03-21,2021-04-02
None,Wycombe,ENG,2,1366.04943848,2021-04-03,2021-04-05
None,Wycombe,ENG,2,1384.11230469,2021-04-06,2021-04-06
None,Wycombe,ENG,2,1381.0177002,2021-04-07,2021-04-07
None,Wycombe,ENG,2,1384.27331543,2021-04-08,2021-04-08
None,Wycombe,ENG,2,1384.57373047,2021-04-09,2021-04-10
None,Wycombe,ENG,2,1374.56274414,2021-04-11,2021-04-13
None,Wycombe,ENG,2,1373.64782715,2021-04-14,2021-04-14
None,Wycombe,ENG,2,1373.4942627,2021-04-15,2021-04-15
None,Wycombe,ENG,2,1379.06030273,2021-04-16,2021-04-17
None,Wycombe,ENG,2,1384.87512207,2021-04-18,2021-04-21
None,Wycombe,ENG,2,1393.97766113,2021-04-22,2021-04-24
None,Wycombe,ENG,2,1390.09936523,2021-04-25,2021-04-27
None,Wycombe,ENG,2,1390.84545898,2021-04-28,2021-04-28
None,Wycombe,ENG,2,1392.18603516,2021-04-29,2021-04-29
None,Wycombe,ENG,2,1392.46411133,2021-04-30,2021-05-01
None,Wycombe,ENG,2,1406.24914551,2021-05-02,2021-05-04
None,Wycombe,ENG,2,1407.41992188,2021-05-05,2021-05-05
None,Wycombe,ENG,2,1412.19140625,2021-05-06,2021-05-06
None,Wycombe,ENG,2,1409.65710449,2021-05-07,2021-05-08
None,Wycombe,ENG,2,1429.60424805,2021-05-09,2021-05-26
None,Wycombe,ENG,2,1428.66674805,2021-05-27,2021-07-01


