Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
logistic_regression,Flat Prediction,380.0,348.56115798417744,-31.43884201582256,-8.273379477848042
logistic_regression,Flat Prediction,760.0,697.1223159683549,-62.87768403164512,-8.273379477848042
logistic_regression,Flat Prediction,1140.0,1045.6834739525348,-94.31652604746523,-8.273379477847827
logistic_regression,Flat Prediction,1520.0,1394.2446319367098,-125.75536806329023,-8.273379477848042
logistic_regression,Flat Prediction,1900.0,1742.805789920892,-157.19421007910796,-8.273379477847788
logistic_regression,Flat Prediction,2280.0,2091.3669479050695,-188.63305209493046,-8.273379477847827
logistic_regression,Flat Prediction,2660.0,2439.9281058892525,-220.0718941107475,-8.27337947784765
logistic_regression,Flat Prediction,3040.0,2788.4892638734195,-251.51073612658047,-8.273379477848042
logistic_regression,Flat Prediction,3420.0,3137.0504218576125,-282.9495781423875,-8.273379477847588
logistic_regression,Flat Prediction,3800.0,3485.611579841784,-314.3884201582159,-8.273379477847788
logistic_regression,Half-Kelly,380.0,478.8595250666815,98.8595250666815,26.01566449123197
logistic_regression,Half-Kelly,760.0,957.719050133363,197.719050133363,26.01566449123197
logistic_regression,Half-Kelly,1140.0,1436.5785752000447,296.5785752000447,26.015664491231995
logistic_regression,Half-Kelly,1520.0,1915.438100266726,395.438100266726,26.01566449123197
logistic_regression,Half-Kelly,1900.0,2394.2976253334077,494.2976253334077,26.015664491231988
logistic_regression,Half-Kelly,2280.0,2873.1571504000894,593.1571504000894,26.015664491231995
logistic_regression,Half-Kelly,2660.0,3352.0166754667707,692.0166754667707,26.01566449123198
logistic_regression,Half-Kelly,3040.0,3830.876200533452,790.876200533452,26.01566449123197
logistic_regression,Half-Kelly,3420.0,4309.735725600134,889.7357256001342,26.015664491231995
logistic_regression,Half-Kelly,3800.0,4788.595250666815,988.5952506668154,26.015664491231988
logistic_regression,Intelligent Half-Kelly,380.0,393.9026473410604,13.902647341060401,3.658591405542211
logistic_regression,Intelligent Half-Kelly,760.0,787.8052946821208,27.805294682120802,3.658591405542211
logistic_regression,Intelligent Half-Kelly,1140.0,1181.7079420231812,41.707942023181204,3.658591405542211
logistic_regression,Intelligent Half-Kelly,1520.0,1575.6105893642416,55.610589364241605,3.658591405542211
logistic_regression,Intelligent Half-Kelly,1900.0,1969.5132367053025,69.51323670530246,3.6585914055422344
logistic_regression,Intelligent Half-Kelly,2280.0,2363.4158840463624,83.41588404636241,3.658591405542211
logistic_regression,Intelligent Half-Kelly,2660.0,2757.318531387423,97.31853138742281,3.658591405542211
logistic_regression,Intelligent Half-Kelly,3040.0,3151.221178728483,111.22117872848321,3.658591405542211
logistic_regression,Intelligent Half-Kelly,3420.0,3545.1238260695445,125.12382606954452,3.658591405542237
logistic_regression,Intelligent Half-Kelly,3800.0,3939.026473410605,139.02647341060492,3.6585914055422344
logistic_regression,Intelligent Kelly,380.0,491.6656244031483,111.66562440314829,29.385690632407446
logistic_regression,Intelligent Kelly,760.0,983.3312488062966,223.33124880629657,29.385690632407446
logistic_regression,Intelligent Kelly,1140.0,1474.9968732094442,334.9968732094442,29.385690632407385
logistic_regression,Intelligent Kelly,1520.0,1966.6624976125931,446.66249761259314,29.385690632407446
logistic_regression,Intelligent Kelly,1900.0,2458.3281220157405,558.3281220157405,29.385690632407396
logistic_regression,Intelligent Kelly,2280.0,2949.9937464188883,669.9937464188883,29.385690632407385
logistic_regression,Intelligent Kelly,2660.0,3441.659370822037,781.6593708220371,29.385690632407407
logistic_regression,Intelligent Kelly,3040.0,3933.3249952251863,893.3249952251863,29.385690632407446
