Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent,BetsPlaced,TotalStaked,ROI_On_Stake,Return_On_Bankroll,MaxDropFromPeak,StoppedEarly,StopDate
logistic_regression,Kelly,380.0,242.34981323874626,-137.65018676125374,-36.22373335822467,30,387.2942790156543,-0.3554149756900746,-0.3622373335822467,0.376190956914424,False,
logistic_regression,Half-Kelly,380.0,236.17490661937325,-143.82509338062675,-37.84870878437546,34,375.69656902085933,-0.38282248292941246,-0.3784870878437546,0.3920851824469157,False,
logistic_regression,Intelligent Kelly,380.0,322.31800949941413,-57.68199050058587,-15.1794711843647,47,422.3655489344006,-0.13656888125964248,-0.151794711843647,0.19577145152120448,False,
logistic_regression,Intelligent Half-Kelly,380.0,455.92752270773786,75.92752270773786,19.98092702835207,73,521.6849333488976,0.14554287052211703,0.1998092702835207,0.09310087992419537,False,
logistic_regression,Flat Prediction,380.0,357.7472291715654,-22.25277082843462,-5.855992323272269,360,360.6324585667953,-0.061704847414096604,-0.05855992323272269,0.08314834175935797,False,
random_forest,Kelly,380.0,405.3133909492667,25.313390949266704,6.661418670859659,30,472.5110612372594,0.05357206005502637,0.06661418670859659,0.3707872561479026,False,
random_forest,Half-Kelly,380.0,464.2769501436393,84.27695014363928,22.17814477464192,40,473.7522960626874,0.17789243628802945,0.22178144774641917,0.2593987134655306,False,
random_forest,Intelligent Kelly,380.0,510.81404952999225,130.81404952999225,34.42474987631375,55,533.7513332288438,0.2450842581294429,0.3442474987631375,0.18377005664965765,False,
random_forest,Intelligent Half-Kelly,380.0,538.5895215107395,158.58952151073947,41.73408460808933,83,549.8096444064773,0.28844441548845107,0.41734084608089334,0.16719932508168953,False,
random_forest,Flat Prediction,380.0,354.1000946890142,-25.899905310985787,-6.815764555522576,380,351.24652176952605,-0.073737115404036,-0.06815764555522576,0.09650296562063661,False,
xgboost,Kelly,380.0,304.1278676279167,-75.87213237208329,-19.966350624232444,27,520.2,-0.14585185000400477,-0.19966350624232443,0.3650775206097772,False,
xgboost,Half-Kelly,380.0,429.6718504991701,49.67185049917009,13.07153960504476,33,597.1382660686324,0.08318316430496689,0.1307153960504476,0.270166157052184,False,
xgboost,Intelligent Kelly,380.0,420.45812933950043,40.45812933950043,10.646876141973797,40,525.3089228281767,0.07701778435759386,0.10646876141973798,0.2380182004014237,False,
xgboost,Intelligent Half-Kelly,380.0,498.23892277990564,118.23892277990564,31.115505994712013,68,510.27959601763223,0.23171399307884535,0.3111550599471201,0.17176755992464365,False,
xgboost,Flat Prediction,380.0,356.65567021758426,-23.34432978241574,-6.1432446795830895,370,354.80466287100137,-0.06579487877503794,-0.061432446795830896,0.11296426129055202,False,
