Feature,ImportanceMean,ImportanceStd
Bet365AwayWinOddsPercentage,0.16962962235682347,0.020790933338985657
AwayElo,0.061468606488561464,0.014027792941295223
OddsFavourHome,0.03182614547851825,0.016158286858766024
FifaAttackDifference,0.030222342351032133,0.010894849929617574
EloDifference,0.02898491400949288,0.016069175833758775
AwayFifaAttack,0.021444607205920268,0.014550415099508817
HomeFifaOverall,0.01872550574289219,0.008970556932808526
AwayFifaOverall,0.017642428060824354,0.014272460520692929
OddsFavourAway,0.015646066139553383,0.010232589503374774
EloTierAway,0.011870462225636213,0.009679846212826684
Bet365DrawOddsPercentage,0.011264428608946706,0.013191010575848046
AverageGoalsScoredAtAway,0.007970239366699319,0.008824833255377983
LossStreakHome,0.007840437905035386,0.00473241258928144
Bet365AwayWinOdds,0.005620439771436761,0.010665472162831044
TotalGoalsScoredHome,0.005618652004203755,0.004361890881153564
Bet365DrawOdds,0.005407720055219267,0.009691603379982053
TotalDrawsAway,0.003247691865665181,0.008632021623611878
AverageGoalsScoredAtHome,0.002700881439655714,0.007535168333890409
HomeGeneralForm,0.0006221673331434808,0.007678934275100875
WinStreakAway,-0.00124106240123745,0.007410869730913692
DrawLikelihood,-0.0014456733741958021,0.004911090270176041
HomeElo,-0.0018842801362762534,0.009125551456172184
GeneralFormDifference,-0.002780150490242042,0.008505124638515741
TotalGoalsConcededAway,-0.004403346855494023,0.00866763609315929
TotalGoalsScoredAway,-0.006042570595509769,0.008256303913483937
HistoricalEncountersHome,-0.00708557705161447,0.010145949003100941
FifaMidfieldDifference,-0.010392377540212832,0.011741879239142878
