Feature,MeanAbsoluteCoefficient,MaxAbsoluteCoefficient
Bet365AwayWinOddsPercentage,0.3851264632498908,0.5761881519147256
AwayElo,0.1932333922682187,0.2921394649041475
EloTierAway,0.16251700873807154,0.24932677461161992
FifaAttackDifference,0.16121064698139398,0.23907253076775642
OddsFavourHome,0.15475189440131232,0.23858341741386443
OddsFavourAway,0.15325107504724025,0.23473364871242652
AwayFifaAttack,0.14824599364686342,0.2285844041219078
AwayFifaOverall,0.13099896655330268,0.1995546391461969
FifaMidfieldDifference,0.1272892112852654,0.1975719498670336
Bet365AwayWinOdds,0.11697479147855966,0.17893246689943448
Bet365DrawOdds,0.10122232878555006,0.15726005707888907
HomeFifaOverall,0.09894847171760236,0.15198320690554587
EloDifference,0.09424756329738648,0.14721063161648482
Bet365DrawOddsPercentage,0.08825257600186281,0.1386163031082818
GeneralFormDifference,0.0794661906412303,0.12485050914167303
WinStreakAway,0.0752769964767072,0.11834942832126595
TotalGoalsConcededAway,0.05905363389006322,0.08869057810439139
TotalGoalsScoredAway,0.055023652494573826,0.08689228294123778
HomeGeneralForm,0.05495103874636006,0.08887493330240948
AverageGoalsScoredAtHome,0.05376401586389884,0.08707957415401162
TotalDrawsAway,0.04783486050765989,0.07666798482221285
HomeElo,0.047664301750676714,0.07778641396770482
AverageGoalsScoredAtAway,0.04630132252125483,0.0748787167589772
TotalGoalsScoredHome,0.036298137692887984,0.060200932792917036
HistoricalEncountersHome,0.03284057481314654,0.05442159548483429
LossStreakHome,0.029486217324445573,0.049438769390179924
DrawLikelihood,0.0237178367347395,0.034803322818588986
