Feature,MeanAbsoluteCoefficient,MaxAbsoluteCoefficient
AwayElo,0.24119948303591424,0.3631222801206423
AwayFifaOverall,0.2007636435522655,0.3416275350459489
OddsFavourHome,0.13368926814747953,0.3155938660331068
EloTierAway,0.12002339867380672,0.3457958305370067
OddsFavourAway,0.11251480267676184,0.3245514018243809
Bet365AwayWinOddsPercentage,0.10800862110660259,0.1646946196629844
HomeFifaOverall,0.10617684572156338,0.29978254971654406
Bet365HomeWinOddsPercentage,0.10349638914008256,0.259962884613444
HomeFifaMidfield,0.10142868516345087,0.28504000935032425
OddsDifference_HvD,0.09682901906502461,0.29048705719507384
AwayFifaMidfield,0.09123386391996917,0.1387973982460524
AwayFifaAttack,0.07472952924165037,0.21533787469580154
WinStreakAway,0.07264087816490927,0.11962337986622974
OddsDifference_AvD,0.07081768089054925,0.21245304267164775
TotalDrawsAway,0.05479649964884337,0.09548715332754594
TotalGoalsConcededHome,0.051058051456132236,0.0980256580746347
AwayGeneralForm,0.04342091180615421,0.078763452286964
TotalGoalsScoredHome,0.042441990672423,0.1177576420525845
TotalGoalsScoredAway,0.03678942722515654,0.0892311038958253
AverageGoalsScoredAtAway,0.035680887320431266,0.10613947042546636
HistoricalEncountersHome,0.03197622808488578,0.061119663160583426
AwayForm,0.030472929927801765,0.07301997605179512
TotalGoalsConcededAway,0.027337587719114247,0.04217446147647376
HomeFifaDefence,0.023887788901149093,0.037526107294619755
Bet365DrawOddsPercentage,0.0171524050132808,0.051457215039842394
