Feature,ImportanceMean,ImportanceStd
Bet365DrawOddsPercentage,0.04115512531223177,0.014093861129960665
Bet365HomeWinOddsPercentage,0.03144870951472838,0.012037727655958128
Bet365AwayWinOddsPercentage,0.010804235051778965,0.008346838782399349
TotalGoalsConcededAway,0.0069037614289382794,0.004377493270440243
Bet365AwayWinOdds,0.004096600762549118,0.004876424786552898
HomeFifaAttack,0.003959614548548096,0.004419039575561394
HomeGeneralForm,0.0018474818000753456,0.0009191150202122898
FifaDefenceDifference,0.001711193354838414,0.0032466389698776743
FifaAttackDifference,0.0007895256604983969,0.001631527913108027
HomeFifaDefence,0.0006484046609220917,0.0030058640295389277
TotalDrawsHome,0.0004007715358030073,0.0015848987513396595
OddsDifference_HvA,3.5637328595775065e-05,0.006204694556951203
DrawLikelihood,9.585342992574075e-06,4.8234749892828395e-05
AwayElo,8.578356780908347e-06,0.003521570128952462
OddsFavourHome,0.0,0.0
WinStreakHome,0.0,0.0
Bet365DrawOdds,-6.787924494892073e-05,0.00042102618208559266
TotalWinsAway,-7.529479238495007e-05,0.004086371718931217
EloTierAway,-0.0003231026599897602,0.000810473250359049
TotalLossesHome,-0.00044404579261504983,0.0024022347912072703
WinStreakAway,-0.0019338604054595753,0.001997005954352716
Bet365HomeWinOdds,-0.0020336657641762458,0.0017443438136898342
EloDifference,-0.002237068448272228,0.00993946494045311
HomeElo,-0.0036720275958078306,0.004113380524280734
HistoricalEncountersAway,-0.003776205006050265,0.0023811927789714727
