Feature,MeanAbsoluteSHAP
Bet365HomeWinOddsPercentage,0.046367356122018144
Bet365AwayWinOddsPercentage,0.022859726846842954
Bet365DrawOddsPercentage,0.02200305442571532
OddsDifference_HvA,0.01452334107124894
EloDifference,0.012454148245161554
Bet365AwayWinOdds,0.009183130766396824
HomeElo,0.007253730500091766
Bet365HomeWinOdds,0.005921960375508403
AwayElo,0.003484104372817582
TotalGoalsConcededAway,0.003270282072312145
HomeFifaAttack,0.0029241923285910406
TotalWinsAway,0.0019795949807976903
FifaAttackDifference,0.0019121494229596143
HistoricalEncountersAway,0.0016606269186411333
FifaDefenceDifference,0.001590915666941376
WinStreakAway,0.0014586936779886484
DrawLikelihood,0.001025947653080375
TotalLossesHome,0.0009441829456360176
HomeFifaDefence,0.0007286098559719293
HomeGeneralForm,0.000698202958019433
TotalDrawsHome,0.0005186224892879597
WinStreakHome,0.00045768972402619165
Bet365DrawOdds,0.00043156457450771793
EloTierAway,8.671946179074729e-05
OddsFavourHome,0.0
