Feature,MeanAbsoluteSHAP
OddsFavourAway,0.09803934717133923
OddsFavourHome,0.07991344727813617
Bet365DrawOdds,0.06765193842784187
HomeFifaAttack,0.04650628955939402
FifaDefenceDifference,0.043380971158088734
TotalGoalsConcededAway,0.039889788092025785
ShotsOnTargetDifference,0.039287990619842554
TotalGoalsScoredHome,0.032832926797885055
GeneralFormDifference,0.0314238972733381
AverageGoalsConcededAtAway,0.02810105511999415
HFA,0.025270255280364494
DrawLikelihood,0.024036046835211922
TotalWinsHome,0.022860871241257432
AverageGoalsScoredAtHome,0.022750297661694077
AverageShotsOnTargetAtHome,0.021410518200008544
FifaOverallDifference,0.020978596131627777
WinStreakAway,0.020879739782407366
AverageGoalsConcededAtHome,0.018637714259602114
HomeFifaDefence,0.01771090641655151
FifaMidfieldDifference,0.016884448136985714
AverageGoalsScoredAtAway,0.016371679207801793
TotalGoalsConcededHome,0.012912248181088276
TotalDrawsHome,0.012283539176526694
AwayFifaDefence,0.009390055462065476
AwayGeneralForm,0.0083707650850043
AwayForm,0.008004236344807666
EloTierHome,0.007000998470009097
TotalDrawsAway,0.006942363858511959
EloTierAway,0.0022130015165945354
OddsFavourDraw,0.0
