Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
logistic_regression,Half-Kelly,100.0,0.9491706863837145,-99.05082931361629,-99.05082931361629
logistic_regression,Half-Kelly,200.0,0.9928764502620837,-199.0071235497379,-99.50356177486896
logistic_regression,Half-Kelly,300.0,0.9530966645170519,-299.04690333548297,-99.68230111182766
logistic_regression,Half-Kelly,400.0,0.8804734642844392,-399.1195265357156,-99.7798816339289
logistic_regression,Half-Kelly,500.0,0.982279876278389,-499.01772012372163,-99.80354402474433
logistic_regression,Half-Kelly,600.0,0.9334473103499928,-599.06655268965,-99.844425448275
logistic_regression,Half-Kelly,700.0,0.9878061923868694,-699.0121938076131,-99.85888482965902
logistic_regression,Half-Kelly,800.0,0.9884269827052797,-799.0115730172947,-99.87644662716184
logistic_regression,Half-Kelly,900.0,0.983071454221007,-899.016928545779,-99.89076983841989
logistic_regression,Half-Kelly,1000.0,1.0658672772292328,-998.9341327227708,-99.89341327227707
logistic_regression,Intelligent Half-Kelly,100.0,46.855844961727534,-53.144155038272466,-53.144155038272466
logistic_regression,Intelligent Half-Kelly,200.0,93.71168992345507,-106.28831007654493,-53.144155038272466
logistic_regression,Intelligent Half-Kelly,300.0,140.56102873060127,-159.43897126939873,-53.14632375646624
logistic_regression,Intelligent Half-Kelly,400.0,187.41470497413508,-212.58529502586492,-53.14632375646623
logistic_regression,Intelligent Half-Kelly,500.0,234.26838121766878,-265.7316187823312,-53.14632375646624
logistic_regression,Intelligent Half-Kelly,600.0,281.12205746120253,-318.87794253879747,-53.14632375646624
logistic_regression,Intelligent Half-Kelly,700.0,327.9757337047366,-372.0242662952634,-53.146323756466195
logistic_regression,Intelligent Half-Kelly,800.0,374.82940994827015,-425.17059005172985,-53.14632375646623
logistic_regression,Intelligent Half-Kelly,900.0,421.6830861918039,-478.3169138081961,-53.14632375646623
logistic_regression,Intelligent Half-Kelly,1000.0,468.53676243533755,-531.4632375646624,-53.14632375646624
logistic_regression,Intelligent Kelly,100.0,13.110985807255295,-86.88901419274471,-86.88901419274471
logistic_regression,Intelligent Kelly,200.0,26.22197161451059,-173.77802838548942,-86.88901419274471
logistic_regression,Intelligent Kelly,300.0,39.32931637760407,-260.6706836223959,-86.89022787413198
logistic_regression,Intelligent Kelly,400.0,52.43908850347206,-347.5609114965279,-86.89022787413198
logistic_regression,Intelligent Kelly,500.0,65.54886062934021,-434.4511393706598,-86.89022787413197
logistic_regression,Intelligent Kelly,600.0,78.65863275520815,-521.3413672447919,-86.89022787413198
logistic_regression,Intelligent Kelly,700.0,91.76840488107611,-608.2315951189239,-86.89022787413198
logistic_regression,Intelligent Kelly,800.0,104.87817700694411,-695.1218229930558,-86.89022787413198
logistic_regression,Intelligent Kelly,900.0,117.98794913281249,-782.0120508671876,-86.89022787413195
logistic_regression,Intelligent Kelly,1000.0,131.09772125868042,-868.9022787413196,-86.89022787413197
logistic_regression,Kelly,100.0,0.6884290157202799,-99.31157098427973,-99.31157098427973
logistic_regression,Kelly,200.0,0.9081177262864715,-199.09188227371354,-99.54594113685677
logistic_regression,Kelly,300.0,0.9848111056268454,-299.0151888943732,-99.67172963145772
logistic_regression,Kelly,400.0,0.9243396355655532,-399.07566036443444,-99.76891509110861
logistic_regression,Kelly,500.0,0.7963303344705501,-499.20366966552945,-99.84073393310588
logistic_regression,Kelly,600.0,0.9555964013646614,-599.0444035986353,-99.84073393310588
logistic_regression,Kelly,700.0,0.9972032860285401,-699.0027967139714,-99.8575423877102
logistic_regression,Kelly,800.0,0.925717791224511,-799.0742822087755,-99.88428527609693
logistic_regression,Kelly,900.0,0.8106962694027209,-899.1893037305973,-99.90992263673304
logistic_regression,Kelly,1000.0,0.90077363266969,-999.0992263673303,-99.90992263673303
random_forest,Half-Kelly,100.0,0.9582338166216059,-99.0417661833784,-99.0417661833784
random_forest,Half-Kelly,200.0,1.918015311456879,-198.08198468854312,-99.04099234427156
random_forest,Half-Kelly,300.0,2.877022967185324,-297.1229770328147,-99.04099234427156
random_forest,Half-Kelly,400.0,3.831913732282491,-396.1680862677175,-99.04202156692938
random_forest,Half-Kelly,500.0,4.789892165353108,-495.2101078346469,-99.04202156692938
random_forest,Half-Kelly,600.0,5.737488141809169,-594.2625118581908,-99.04375197636513
random_forest,Half-Kelly,700.0,6.693736165444027,-693.3062638345559,-99.04375197636513
random_forest,Half-Kelly,800.0,7.64998418907889,-792.3500158109211,-99.04375197636514
random_forest,Half-Kelly,900.0,8.606232212713735,-891.3937677872863,-99.04375197636513
random_forest,Half-Kelly,1000.0,9.562480236348597,-990.4375197636514,-99.04375197636513
random_forest,Intelligent Half-Kelly,100.0,48.91817318229435,-51.08182681770565,-51.08182681770565
random_forest,Intelligent Half-Kelly,200.0,97.82696946127959,-102.17303053872041,-51.08651526936021
random_forest,Intelligent Half-Kelly,300.0,146.74045419191972,-153.25954580808028,-51.08651526936009
random_forest,Intelligent Half-Kelly,400.0,195.65393892255918,-204.34606107744082,-51.08651526936021
random_forest,Intelligent Half-Kelly,500.0,244.56742365319957,-255.43257634680043,-51.08651526936009
random_forest,Intelligent Half-Kelly,600.0,293.48090838383945,-306.51909161616055,-51.08651526936009
random_forest,Intelligent Half-Kelly,700.0,342.39439311447893,-357.60560688552107,-51.086515269360156
random_forest,Intelligent Half-Kelly,800.0,391.30787784511836,-408.69212215488164,-51.08651526936021
random_forest,Intelligent Half-Kelly,900.0,440.22136257575846,-459.77863742424154,-51.08651526936016
random_forest,Intelligent Half-Kelly,1000.0,489.13484730639914,-510.86515269360086,-51.08651526936009
random_forest,Intelligent Kelly,100.0,20.36310170196217,-79.63689829803783,-79.63689829803783
random_forest,Intelligent Kelly,200.0,40.71839678224129,-159.28160321775871,-79.64080160887936
random_forest,Intelligent Kelly,300.0,61.07759517336186,-238.92240482663814,-79.64080160887939
random_forest,Intelligent Kelly,400.0,81.43679356448258,-318.56320643551743,-79.64080160887936
random_forest,Intelligent Kelly,500.0,101.79599195560301,-398.20400804439697,-79.6408016088794
random_forest,Intelligent Kelly,600.0,122.15519034672371,-477.8448096532763,-79.64080160887939
random_forest,Intelligent Kelly,700.0,142.5143887378443,-557.4856112621557,-79.64080160887937
random_forest,Intelligent Kelly,800.0,162.87358712896517,-637.1264128710349,-79.64080160887936
