ActualPosition,Club,ActualPoints,SimulatedPosition,SimulatedPoints,PositionDifference
1,Man City,91,1,114,0
2,Arsenal,89,3,96,1
3,Liverpool,82,2,104,-1
4,Aston Villa,68,6,67,2
5,Tottenham,66,4,79,-1
6,Chelsea,63,5,77,-1
7,Man United,60,9,60,2
8,Newcastle,60,11,45,3
9,West Ham,52,14,34,5
10,Crystal Palace,49,12,40,2
11,Bournemouth,48,10,47,-1
12,Brighton,48,8,60,-4
13,Everton,48,7,62,-6
14,Fulham,47,15,29,1
15,Wolves,46,16,27,1
16,Brentford,39,13,36,-3
17,Nott'm Forest,36,17,24,0
18,Luton,26,19,14,1
19,Burnley,24,18,16,-1
20,Sheffield United,16,20,4,0
