Position,Club,Matches Played,Wins,Draws,Losses,Points
1,Man City,38,38,0,0,114
2,Liverpool,38,34,2,2,104
3,Arsenal,38,31,3,4,96
4,Tottenham,38,24,7,7,79
5,Chelsea,38,23,8,7,77
6,Aston Villa,38,18,13,7,67
7,Everton,38,19,5,14,62
8,Brighton,38,16,12,10,60
9,Man United,38,17,9,12,60
10,Bournemouth,38,13,8,17,47
11,Newcastle,38,9,18,11,45
12,Crystal Palace,38,9,13,16,40
13,Brentford,38,5,21,12,36
14,West Ham,38,7,13,18,34
15,Fulham,38,3,20,15,29
16,Wolves,38,5,12,21,27
17,Nott'm Forest,38,1,21,16,24
18,Burnley,38,2,10,26,16
19,Luton,38,1,11,26,14
20,Sheffield United,38,0,4,34,4
