Model,Accuracy,Precision_Home,Recall_Home,F1_Home,Support_Home,Precision_Draw,Recall_Draw,F1_Draw,Support_Draw,Precision_Away,Recall_Away,F1_Away,Support_Away,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted
Logistic Regression,0.55,0.657,0.657,0.657,175,0.276,0.098,0.144,82,0.489,0.699,0.575,123,0.474,0.485,0.459,0.52,0.55,0.52
XGBoost,0.561,0.632,0.737,0.681,175,0.238,0.061,0.097,82,0.51,0.642,0.568,123,0.46,0.48,0.449,0.508,0.561,0.518
Random Forest,0.561,0.694,0.634,0.663,175,0.274,0.207,0.236,82,0.538,0.691,0.605,123,0.502,0.511,0.501,0.553,0.561,0.552
Logistic Regression,0.5,0.688,0.503,0.581,175,0.242,0.366,0.291,82,0.562,0.585,0.574,123,0.497,0.485,0.482,0.551,0.5,0.516
XGBoost,0.561,0.609,0.749,0.672,175,0.286,0.073,0.117,82,0.528,0.618,0.569,123,0.474,0.48,0.453,0.513,0.561,0.519
Random Forest,0.555,0.687,0.64,0.663,175,0.278,0.183,0.221,82,0.515,0.683,0.587,123,0.493,0.502,0.49,0.543,0.555,0.543
Logistic Regression,0.508,0.683,0.543,0.605,175,0.233,0.293,0.259,82,0.536,0.602,0.567,123,0.484,0.479,0.477,0.539,0.508,0.518
XGBoost,0.566,0.629,0.754,0.686,175,0.325,0.159,0.213,82,0.538,0.569,0.553,123,0.497,0.494,0.484,0.534,0.566,0.541
Random Forest,0.563,0.685,0.646,0.665,175,0.311,0.171,0.22,82,0.512,0.707,0.594,123,0.503,0.508,0.493,0.548,0.563,0.546
Logistic Regression,0.524,0.627,0.606,0.616,175,0.276,0.329,0.3,82,0.584,0.537,0.559,123,0.496,0.491,0.492,0.537,0.524,0.53
XGBoost,0.563,0.621,0.72,0.667,175,0.387,0.146,0.212,82,0.521,0.618,0.565,123,0.509,0.495,0.481,0.538,0.563,0.536
Random Forest,0.561,0.691,0.64,0.665,175,0.278,0.183,0.221,82,0.524,0.699,0.599,123,0.498,0.507,0.495,0.548,0.561,0.548
Logistic Regression,0.534,0.629,0.6,0.614,175,0.243,0.207,0.224,82,0.566,0.659,0.609,123,0.479,0.489,0.482,0.525,0.534,0.528
Logistic Regression,0.534,0.629,0.6,0.614,175,0.243,0.207,0.224,82,0.566,0.659,0.609,123,0.479,0.489,0.482,0.525,0.534,0.528
Random Forest,0.545,0.694,0.623,0.657,175,0.224,0.183,0.201,82,0.532,0.675,0.595,123,0.483,0.494,0.484,0.54,0.545,0.538
XGBoost,0.542,0.633,0.68,0.656,175,0.267,0.098,0.143,82,0.488,0.642,0.554,123,0.462,0.473,0.451,0.507,0.542,0.512
Logistic Regression,0.532,0.637,0.611,0.624,175,0.277,0.317,0.295,82,0.585,0.561,0.573,123,0.499,0.496,0.497,0.542,0.532,0.536
Random Forest,0.568,0.683,0.64,0.661,175,0.302,0.195,0.237,82,0.54,0.715,0.615,123,0.508,0.517,0.504,0.554,0.568,0.555
XGBoost,0.555,0.686,0.623,0.653,175,0.306,0.268,0.286,82,0.537,0.65,0.588,123,0.509,0.514,0.509,0.555,0.555,0.553
Logistic Regression,0.534,0.681,0.537,0.601,175,0.276,0.354,0.31,82,0.584,0.65,0.615,123,0.514,0.514,0.509,0.562,0.534,0.543
Random Forest,0.574,0.698,0.634,0.665,175,0.322,0.232,0.27,82,0.543,0.715,0.618,123,0.521,0.527,0.517,0.567,0.574,0.564
