Feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
Bet365HomeWinOdds,-0.19967654856034517,0.07406564607929692,-0.020056337620030687,0.27373863866813386,-0.009321384968635084,-0.008340011398872445,-0.07872541730754717,0.009142672489666147,0.0734073288204814,-0.018325628304884337,-0.06344973615797281,-0.07786577294168467,-0.05029055953786529,-0.154331981010778,-0.11798946166379816,0.045962639378863274,0.19964025277568792,0.05308526169719877,-0.19420408770026382,-0.1089678440209172,0.12217565773492958,-0.03880811749176215,0.051531129417745146,0.12712094224333073,0.22190757218319246,0.10995530841810193,-0.04051240201699367,-0.030088775264651074,-0.03747330600163157,-0.12249566322764362,0.08550778531709326,-0.10411697745608396,0.44381388622767637,0.1674378282524855,-0.39015249932768387,-0.09663512132349765,0.4088327953001958,-0.036006340973610024,-0.06343883272141054,-0.1681183290920706,-0.022304278620581316,0.02856008318237511,0.009401569632750496,0.0010502350398138036,0.005242628534255291,0.0006218967405352669,-1.1206683554097667e-16,-1.838907329001106e-16,-2.952376535513901e-16,0.0,0.0
Bet365DrawOdds,0.10175164617455967,0.15262668988169698,-0.03856896273339392,0.5092335150930313,-0.1064235330321813,-0.02466846039902631,-0.08421985468498557,0.0012811930874089825,0.07685049080653966,-0.020242889687262306,-0.00849423979688136,-0.10813457243586039,0.010593996212138745,-0.06393791905977095,0.09163810841541385,-0.035536467788663546,0.03173730801195993,-0.046959993389391386,0.017583193422658877,0.006535273281989967,-0.04752382989971615,-0.047538164567671994,-0.004995562906609146,-0.04049341605886887,-0.012894521247231394,-0.007714723501516772,0.03961419117849586,-0.016630187652465055,-0.1357489481557323,0.31586414678258934,-0.09771780562248222,0.1153295317710502,-0.05361885011656778,-0.07372793462981439,0.057908518005633264,-0.028512885437786954,0.22465136088218796,0.1624588498864002,0.047168377883230486,0.6096807657542043,0.15142370814024686,-0.10419538326576903,-0.06732789781306141,0.00934538955850999,0.005164912285672218,-0.0011035265224305828,2.99571771363768e-14,-4.2950386960114716e-16,-8.867341208469906e-15,5.993435617898852e-15,3.024156895227744e-14
Bet365AwayWinOdds,0.2031502223180827,0.07106895827030817,-0.02978769925299117,0.27991294537940287,-0.0851301450965095,-0.04219072048837625,-0.07029800879770091,-0.03103428397991643,0.017406673910531117,-0.048265538099090635,-0.012833097494211168,-0.03360514226170786,0.02756577589867944,0.052275324758525095,0.15368440046763815,-0.05705809011098709,-0.06628929147432988,-0.11621761360859094,0.12195527057201995,0.016278277251831213,-0.14027843138913554,-0.05204179858489556,-0.033791675734342524,-0.12577054470631327,-0.11224367814714611,-0.06693465504101054,0.06031231190509393,-0.08991702124152659,-0.19472321441647913,0.44865944909161654,-0.12887454814803695,0.17043769311721108,0.14407414456506676,-0.05077746737663339,-0.04474965368032225,-0.09390357409624073,-0.07474133273192653,-0.20219936188094834,-0.01368098784890302,-0.5788208684326281,-0.10727341274449632,0.09867769618916607,0.04112110708719589,-0.019231045253337808,-0.001960100753368327,0.0007839470801847392,-3.861696552215009e-14,-7.297588497216671e-16,2.128277136502681e-15,-1.4157667450224694e-14,-2.3457384710204635e-14
Bet365HomeWinOddsPercentage,0.24289345358019432,0.012534800017134255,-0.00488856353319444,0.0244942068568264,-0.05932135702661186,-0.006046620085248881,0.007361260259085644,-0.002451000032065239,-0.03537783558556255,-0.02675593880236204,-0.027941827679992936,-0.10777753510262858,0.05261737676985153,0.025173844947260625,0.06663672614518362,-0.015348476683232816,-0.053937318526982574,-0.05218117355730547,0.08986423838707758,0.05359626742729536,-0.06486882354366617,-0.019952831436450037,-0.027049162116999554,-0.08056519870045176,-0.08981458200107663,-0.043932981127301214,0.04972958840022653,0.02580455699637734,0.11821923836859358,-0.1785424554199141,0.08536950190973616,-0.08822736237054997,0.07997242761466364,0.06480335920952535,-0.06987432899491129,0.00021253355401534585,0.06765065964339294,0.004832797307669636,0.006331485173709986,0.01739944203867942,0.016558860350704394,-0.013534319362838141,0.005330686838644207,0.0043096477809017215,0.0020559381077463125,-0.0004084546654673906,0.8199746060610374,-0.3015721761115979,-0.13170344545945142,0.09929832644210772,-0.01595778769543152
Bet365DrawOddsPercentage,-0.09036505188751709,-0.17739619569312412,0.0373896165261511,-0.4916121833474275,0.10427140474383544,0.015290805442232156,0.04753401654423509,-0.013101919807367989,-0.06960818036025002,0.010890936878663009,0.01928233175812224,0.14909674652998223,-0.0013803331036348005,0.08868195129479792,-0.044248574352284124,0.008200251155130497,-0.05484285985380536,0.016115491251199463,0.020227853470419742,-0.03422710754955685,-0.02204820526477556,0.008579996673997059,0.031092153706723694,-0.012059325537189676,-0.012020795128782182,-0.028467107064477696,-0.03071258701549648,-0.10089840428766725,-0.2066740080654318,0.3896942300856025,-0.11534771240962066,0.1296930858849406,0.1890415558279997,-0.007883873904801603,-0.10845709315959588,-0.07514071016196598,0.32634987895414314,0.03217508726326109,0.004531855289155969,0.13197314005529315,0.05288747841664213,-0.027413609825591795,-0.03351903649466973,-0.0029213264174678985,0.000361336097720567,-2.24964532196999e-05,0.08437028069444474,-0.008453996540145687,-0.19477187170126767,0.3128078925298483,0.31168821370442495
Bet365AwayWinOddsPercentage,-0.23929128079035217,0.035161108306993184,-0.0049676806127564015,0.10858012587354998,0.03583208594706099,0.0023699630977498973,-0.021079546714997347,0.006269129500754446,0.05761899317636444,0.02610148329652865,0.02508308871698627,0.0761989032841411,-0.05684162569159479,-0.05176839998085991,-0.060296764044468876,0.014435963417271587,0.07374120217532056,0.052314362588663545,-0.10329082218037738,-0.04887168910342369,0.0766090480282913,0.019338740714332683,0.0208640350776366,0.090931389487839,0.10097947637018771,0.05560687761259998,-0.045633349857710205,-0.00031037828177486016,-0.07171765527166954,0.08697946492429544,-0.06111285878256507,0.060275092859519576,-0.13896556798157242,-0.06830506213164822,0.1058192175589792,0.020436260278160076,-0.16333221205358944,-0.014105387869029812,-0.00813195968304524,-0.05522095897226335,-0.032554382476630214,0.0222586341469954,0.0034222726294756045,-0.00388322437220139,-0.0023352135080622082,0.00045038120417677414,0.50101000381168,0.5880578421795923,0.3201997306138632,0.06408271830651317,0.25586674673824505
OddsFavourHome,0.19993701105303519,-0.040564948689721284,0.011062920359144092,-0.16372779787020553,-0.03672181008444485,0.024660461382152176,0.02318443500351105,0.039305239072943705,-0.12300124267467928,-0.03793169309738746,-0.1621619496062632,-0.4247912215362026,0.10281584399744546,-0.2314784506928949,-0.14450517540409497,0.04887343210335371,0.2308658344328612,0.003515565021754779,-0.10750358547007365,-0.015925434165264936,0.06666893109971324,0.024862082462616487,0.00713834938116298,0.017957849250917927,0.08918328411972888,0.018542651556585132,-0.050040303874095624,-0.022587963944190853,-0.0641868796720206,0.10438198894748957,-0.06053750634444363,0.06238566904086074,-0.0706361101222624,-0.05398937006177834,0.045166477279484245,0.001084890798373919,-0.04173236976403288,-0.06997826863170419,0.01871985941707897,0.08288672277569019,-0.021219705381237793,0.14384046885038757,0.683574846334969,-0.002320376152344916,-0.0028494634233894745,4.984633643379309e-05,-2.5198181826205308e-14,-9.422337765666927e-15,-4.818428236535269e-15,-1.2401861465977982e-14,-9.482795254839065e-15
OddsFavourDraw,4.235164736271502e-22,2.168404344971009e-19,0.0,-0.0,4.85722573273506e-17,1.8041124150158794e-16,1.1102230246251565e-16,-2.2898349882893854e-16,1.734723475976807e-16,-1.3877787807814457e-17,-3.608224830031759e-16,1.3877787807814457e-16,-7.771561172376096e-16,1.5543122344752192e-15,-3.3584246494910985e-15,1.27675647831893e-15,-1.5543122344752192e-15,-8.430756093247282e-16,-1.4432899320127035e-15,-5.134781488891349e-16,-9.922618282587337e-16,1.106753577673203e-15,-1.3183898417423734e-15,-1.9984014443252818e-15,1.3322676295501878e-15,-6.106226635438361e-16,-6.938893903907228e-17,2.2273849431542203e-15,6.175615574477433e-16,-1.27675647831893e-15,-1.2212453270876722e-15,-7.91033905045424e-16,1.0547118733938987e-15,-4.947431353485854e-15,3.5388358909926865e-16,-2.5246731788497456e-15,-3.497202527569243e-15,-1.1518563880485999e-14,-1.722233466949774e-14,-6.467049118441537e-15,-1.0297318553398327e-14,-1.8665624601510444e-15,-6.019490461639521e-16,-1.5367047911940546e-14,-1.0843756448331021e-13,-7.713066296766158e-13,-0.057011402348785746,-0.5133044335790227,0.6144042142423173,-0.181942377253125,0.5680428604877509
OddsFavourAway,-0.20016879067891571,0.03818937134160058,-0.010588052301413837,0.1557481491769703,0.033629856363989866,-0.022883619336361755,-0.027275412037483873,-0.039477155054800456,0.12714987138501083,0.04110782592016712,0.16612526709224895,0.42933895910429815,-0.10996938047597297,0.23478774185359846,0.14474164626771982,-0.05288592225071472,-0.2290846475407561,-0.00474700112089467,0.10026802439913703,0.009982442817881236,-0.07374070455649859,-0.025830776288025662,-0.004283842946982267,-0.028823195522810364,-0.07776999698498646,-0.011479315599117032,0.052980984716485754,0.014580576330841572,0.06336494629058435,-0.08330699364421798,0.04981263476958627,-0.047922798092517635,0.0713356111972026,0.033177723113068096,-0.047400475842183105,0.010895352182280202,0.0863714476319484,-0.057927623074193295,0.008678637956332627,0.12215837163822582,-5.889154178802528e-05,0.11858563994018746,0.6829448991724769,-0.0019317758274521926,-0.002046136053858679,-0.000397391709622516,-2.1611877759293267e-14,-1.2076549095000902e-14,-8.036336098360285e-15,-1.010564147460839e-14,-6.850101976833577e-15
OddsDifference_HvA,0.2430717464117775,-0.01039498246241926,-0.00016832304271837287,-0.03956393039209415,-0.04844847818426249,-0.004319175902970234,0.014042893713303682,-0.004313834541449739,-0.046395692602104875,-0.026651175140965933,-0.026782144602910056,-0.09338145192581347,0.055072331260313453,0.03821307266847832,0.06410169910383792,-0.015029060916246692,-0.0639249175666483,-0.05265742183385969,0.09705634594569372,0.051738239550436584,-0.07104939113241862,-0.019813850113341934,-0.024276371349814148,-0.08620626376430046,-0.09591429921129925,-0.049916247102905466,0.048144412878306515,0.013699063745503929,0.09670042494598678,-0.13574312328164612,0.07433175292945082,-0.07542783683807389,0.10908708007522143,0.06700565258627142,-0.08778100932572598,-0.009755525535550449,0.11438209100145279,0.009347980481600278,0.0072507813599425675,0.035797943824721394,0.024412608192882414,-0.017853475420051425,0.0011466291846687095,0.004137782525104067,0.0022070095132799184,-0.0004319223354078381,-0.0650077178856573,0.41357492219586567,-0.277201003906053,-0.543240608801611,0.4930237781457013
