Feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
Bet365HomeWinOdds,0.17063847100356289,0.0843480110117778,0.03197233817448959,0.23196973842211654,0.0995778506035434,0.020514780557956927,0.06219293699751659,0.016294062281414334,0.028543062263033797,0.125859364091105,0.06252978534677733,0.04103082748133282,0.049021644385271936,0.3369001249738536,0.0073893127733363085,0.027095739253649952,0.04013416762036718,0.10504323109305597,0.04277199655314562,0.12264012396210515,0.048285854751542165,0.05246640645169312,0.0997060430688602,0.0250862527088302,0.014812373222264828,0.039624873445354904,0.08932266115383031,0.0426639449327867,0.02949063720959033,0.028128761526943418,0.010505234982487498,0.3140616657545469,0.21729422406046053,0.030418079928428716,0.14928068457832247,0.15452826017955376,0.0493223171551592,0.010004733239053445,0.030992145794860083,0.09940155988189457,0.2838073776491699,0.018650744999061542,0.020323638779736208,0.00014574536866919394,0.0063876024556107315,0.0008093099461401399,0.004089597102371528,0.0020553574733934024,9.606906618705466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0843666727749124e-08,0.6397730602628731,0.0,0.0
Bet365DrawOdds,0.10006923418223779,0.14572061654741456,0.05349136239133279,0.4334432512668953,0.15230779158873503,0.010918872581388135,0.03341683885045263,0.03203142807329713,0.02456744414237694,0.047045259815977944,0.05542484764111479,0.016137968606669405,0.03884213252274995,0.0019363261486553159,0.003803690588718179,0.07664661208441818,0.05998539089026304,0.03969009119965976,0.009024146891871178,0.0016513882533076216,0.01898587197072893,0.008577517102866678,0.03736047232682135,0.01826135695066777,0.0015185835404733531,0.03005098945278266,0.0021786178725237693,0.019236305888728086,0.009901149593669105,0.03783061299870139,0.01286142670246982,0.144028527087595,0.1832989319839145,0.04711229415480187,0.22893407708247798,0.38219222691967175,0.0061144667279128245,0.025283893254934797,0.03224744895346383,0.457024941314866,0.22566306592506175,0.05613666749887965,0.0630666997256497,0.00773912368715326,0.026500389929716987,0.001990733773380014,0.0051464472715506875,0.0035694437735588665,0.0010442763583201249,0.08462597623556069,0.012689869256092312,0.052645775826727574,0.0879463524501394,0.00894990542991269,0.04810508539606091,0.023105528984218207,0.10928414200707147,0.35409702713192326,0.06717924134296917,0.20376993864248896
Bet365AwayWinOdds,0.1848852688283784,0.0583603463479298,0.03517553496653411,0.24286765774556895,0.07812493021475782,0.027894474519976082,0.017966997613108944,0.011519603645763897,0.07542433220194229,0.06034087946560071,0.02760884540769061,0.028753691909131355,0.01665036447379394,0.21079895935141385,0.02047876557189643,0.07765242802582133,0.046563147838705986,0.12337119715634735,0.033505730962555734,0.03892278300396133,0.08285090049021233,0.002758128993779902,0.02584268283955475,0.0515689945008435,0.015128290235971176,0.040614673014576004,0.03474079140191255,0.02211137501840894,0.02096486205283703,0.058458389617339866,0.008437170640896493,0.26381748917092956,0.19848357563567884,0.052047897054080305,0.09098370015523029,0.053952128599687,0.032379039366783074,0.0313507857845884,0.03397502125834885,0.10150482142033981,0.044282705822286675,0.000725174318989836,0.0063319232879111365,0.004419149347173627,0.00182801198417671,0.004198643279204889,0.0005511363245858386,0.0005897277059507701,2.3583644598099687e-05,0.24014971984035027,0.03601102973606838,0.14939701588048915,0.24957220987433912,0.025397843276968403,0.136511545209264,0.06556835807573363,0.31012413575834696,0.1502208278611013,0.1906397622249295,0.5782538158338194
Bet365HomeWinOddsPercentage,0.21172572535205988,0.0005312811404204421,0.0018608850625523386,0.022588253107311097,0.003419993836575295,0.009758962369287102,0.023596125703486157,0.016102765894049867,0.02045702380876631,0.07972158495816178,0.048494940723277986,0.07585835344477408,0.1158448752598239,0.05974805975741955,0.023958198909595416,0.022294938404170704,0.013994511640454725,0.055822482335234215,0.00667918623617705,0.02598069769625553,0.00341457564803332,0.02561874116229678,0.013536649881635263,0.01558900144252988,0.0021507800508916443,0.010161017326868686,0.010898284620563628,0.01134778042120522,0.022140799189547655,0.0174873491145113,0.02371131624877741,0.20589542841642602,0.19782917081936552,0.08830013673668764,0.17332897343437134,0.30731675917780954,0.019772854067794398,0.0473095265819943,0.028625910375693762,0.25037857282474435,0.3060088379784975,0.020751254249695678,0.07875501379484791,0.027377204118894483,0.005773267083011643,0.010354199229319145,0.005475083711175021,0.09467368548596279,0.012489670477921815,0.09557075589689353,0.140752663543529,0.04509453335551811,0.08655616385911959,0.038923588278682426,0.06612803175756365,0.22672937621978745,0.39841845130065917,6.752936236733327e-09,0.37805420426152425,0.3553354315999629
Bet365DrawOddsPercentage,0.08896891581621723,0.17131698179000437,0.0537227894058446,0.41933289798206796,0.1462664975836978,0.004021131546333723,0.008917799734041342,0.031963697350096736,0.00019831309314207411,0.07216267056972385,0.06593355190442132,0.030629197387016097,0.06801272545990794,0.14240667855866307,0.006078337773965986,0.037244862188083,0.04308500592807372,0.0335439870416732,0.006475557622954196,0.015393351956732798,0.07606784193968434,0.00010574632357894834,0.00682136127429311,0.021257990353495463,0.006381401065836949,0.008460733579801866,0.014986458583756848,0.015061660835936942,0.03961987667610403,0.028473638459258262,0.015508932909152654,0.27471758735397317,0.20846542951597932,0.05661253109288444,0.025611366644131387,0.12002010601479969,0.017506989894140047,0.015189769577877765,0.01487462768701723,0.16282136682340684,0.20073303714776358,0.017973348845105472,0.03365338077427607,0.0031023919637983097,0.01563648991224296,0.003378626181193753,0.004796454191484967,0.6820374990788146,0.08228045017554332,0.024171686159091637,0.035599061422544376,0.011405276620246305,0.02189172208979742,0.009844525673848008,0.016725053757715776,0.057344229139445875,0.10076770529457062,1.7076300641969334e-09,0.09561719472797771,0.08987117924789174
Bet365AwayWinOddsPercentage,0.20578044879562835,0.04769836098993366,0.012752700167200324,0.09077248897041289,0.043949714971239465,0.009506841891326511,0.028113569872577873,0.008720135142890174,0.022301515672746963,0.10654533658708934,0.03460317593148466,0.07407126244045724,0.10727421132842746,0.10414472666309611,0.02772633205381744,0.014001529546490046,0.0033685064236424725,0.06993307648371548,0.00904469756419517,0.03248788210878899,0.024635740637244587,0.02783124101020285,0.016597287680738034,0.022799998497396525,0.004094167799694389,0.013377202461340333,0.015973874327795668,0.008197989706293091,0.013180657711989667,0.011185804252055467,0.021520286772687865,0.14834999510828162,0.15780055826589495,0.08045498086579658,0.18145050426522558,0.30119489034879815,0.016687653621303526,0.04727107585825914,0.03522187058312489,0.31707004669246386,0.38799541506836893,0.027510499505054728,0.09490224425777653,0.030625961507707015,0.001977612063016953,0.010330881277206102,0.004634881123597784,0.08463641763649572,0.009048679596641893,0.0878813269650721,0.12942799007909386,0.04146631878090627,0.07959203069558686,0.035791875412842976,0.06080750461691831,0.20848719105720398,0.3663625118278328,6.209596852852606e-09,0.3476367307492226,0.32674586439809955
OddsFavourHome,0.16729538772663344,0.050397029374946195,0.019257436115281523,0.13294540591679366,0.057890709778490694,0.024395952470530016,0.01727514629550652,0.043942559051890116,0.05613168968725942,0.14434782856531075,0.17393531823581873,0.3011298549632864,0.3632197732606967,0.29472422885454114,0.12831878983478684,0.025248316585422138,0.11591731076991833,0.08821131181869298,0.05629285450215319,0.01710282964349853,0.0008656452330493737,0.006159720629193943,0.005293630442358623,9.11672962655295e-05,0.04385494871152553,0.019857213176852757,0.012702801340619829,0.007397609427375082,0.04053641598636298,0.0024852966477634767,0.006964988999848296,0.081777544989791,0.06516237955805607,0.04209633918526312,0.06262316988061868,0.10155508874984387,0.021664046412403118,0.016421473575563617,0.02305797217525293,0.046865161918414,0.07355049514145483,0.06820993877756674,0.012234166752799187,0.13663713133746672,0.6900385021493778,0.0026929896282521675,0.002778246089738674,0.0013722374863704113,0.00011044642059954306,8.519507896651243e-16,9.502868506012714e-15,1.353113010770052e-14,1.2672266231600872e-14,4.061047210251212e-15,1.3536494472503393e-14,7.0214214573549046e-15,2.3254915143802118e-14,7.5762778097417e-15,7.030489782733235e-16,1.221560443497163e-16
OddsFavourDraw,1.0587911840678754e-22,4.336808689942018e-19,1.734723475976807e-18,0.0,2.220446049250313e-16,5.551115123125783e-17,0.0,4.163336342344337e-17,3.469446951953614e-17,2.636779683484747e-16,9.367506770274758e-17,5.516420653606247e-16,1.8041124150158794e-16,5.551115123125783e-17,2.463307335887066e-16,3.0184188481996443e-16,8.673617379884035e-16,6.106226635438361e-16,2.5738959574805875e-16,6.071532165918825e-16,8.847089727481716e-17,2.3245294578089215e-16,5.689893001203927e-16,7.112366251504909e-17,6.002143226879753e-16,9.783840404509192e-16,7.077671781985373e-16,4.718447854656915e-16,4.2327252813834093e-16,9.853229343548264e-16,7.719519468096792e-16,5.551115123125783e-16,5.551115123125783e-17,4.5900783174346316e-15,9.298117831235686e-16,1.304512053934559e-15,4.822531263215524e-16,1.425075335514947e-15,2.7599450502791e-15,8.378714388967978e-15,1.0685896612017132e-15,2.57633541236868e-16,4.35383066405004e-15,3.455423474478872e-15,2.25134581116615e-14,3.1060765938450974e-15,1.0759839200180643e-14,3.9984996650505034e-13,1.0170668831872148e-13,0.49382738469797666,0.2579050203387146,0.7062607244642487,0.32299834927307053,0.04380057977436017,0.055073279743331434,0.22772865272263965,0.0756760738210766,1.2826490147777037e-09,0.09765974726530684,0.12004657207320679
OddsFavourAway,0.1674697680646483,0.04792687670790314,0.018574869960015457,0.12484546550339062,0.06061110803236335,0.025002103059412716,0.021840855865385544,0.04241834192133706,0.05483661122628113,0.14879665394805394,0.17313119432576446,0.3053127859356284,0.3647636598382547,0.2996221240669096,0.13303120887725048,0.025873480876688917,0.11433275301258261,0.09041061593964408,0.051351873023665236,0.016328232859529942,0.007486796659754732,0.006223015828646252,0.013022381613142226,0.0007401042552528682,0.037449167624222464,0.00805330559610959,0.002785128497862581,0.017456749002929692,0.0383012193294051,0.0012992542491050449,0.0007967870519261641,0.07060089782959938,0.059782972488760036,0.03201859260168867,0.05513318577175508,0.0680520025763003,0.006403086547351348,0.029892021115472768,0.02330838713457971,0.07653023551806744,0.08506720938042943,0.08323116958478795,0.014527684089053852,0.11752858705292996,0.6907742235684046,0.002232385722204129,0.0019943835114900697,0.0009436769090305638,0.0005208637790242725,2.4032925427103803e-16,1.1714288420144612e-14,1.6445214060948768e-14,1.2053784138885341e-14,3.616646453442482e-15,1.2310931104973523e-14,4.906574806744268e-15,2.2272308703101394e-14,5.619728331033747e-15,1.9883027909930314e-15,2.1783877685456228e-15
OddsDifference_HvA,0.205350401598084,0.008556131512920714,0.01283746740291139,0.08406875461974556,0.016882657017160144,0.012150329528106798,0.012112775544209923,0.001833463893332081,0.06705431276007193,0.09558472232825198,0.005163415044413686,0.004429988349838953,0.03219368647043743,0.29207940421801243,0.012043215432007835,0.06810271244844376,0.017884458296916313,0.13343623337736854,0.007213794189348923,0.07853250771504323,0.08054969104902883,0.023385605506084314,0.021595513028573314,0.048114082518770813,0.01714881195382041,0.01371982393845599,0.06189571330383441,0.033619231137303876,0.027413877368162632,0.031514387013352636,0.0019245257827420659,0.06604763285690464,0.057421929616858776,0.025870900260152232,0.006100051814127175,0.023253340322680862,0.0037191488735864903,0.018969138173379304,0.012354148332847023,0.11506840282540405,0.08298810564959162,0.007059516557943225,0.003619728850476249,0.0033072819650565763,0.001256780468049158,0.0034153455432086436,0.00125975723858222,0.0004032785852117643,5.6441903552200755e-05,0.05791445892013747,0.3095172515575968,0.12320486367170368,0.06693466690806109,0.4110939916072594,0.6285072237385568,0.09340687112305301,0.10822739192365458,0.26544883454830936,0.014897816591705141,0.01319235640026134
