Feature,DominantComponent,AbsoluteLoading
Bet365DrawOddsPercentage,PC4,0.4916121833474275
AverageGoalsConcededAtAway,PC7,0.4688654110682132
HFA,PC8,0.563564516555153
HistoricalEncountersHome,PC9,0.640957868143283
LossStreakHome,PC13,0.46102341054881735
WinStreakAway,PC14,0.4794004397795768
LossStreakAway,PC14,0.47734922109757655
HistoricalEncountersAway,PC15,0.6765936575896151
WinStreakHome,PC15,0.3186860679515238
AverageGoalsConcededAtHome,PC16,0.4158981598984404
TotalWinsHome,PC21,0.4825953304317076
TotalDrawsHome,PC21,0.480255459731507
AverageGoalsScoredAtHome,PC22,0.47106203201441127
AverageGoalsScoredAtAway,PC23,0.40360294058735746
TotalDrawsAway,PC25,0.36347372401574085
EloTierAway,PC26,0.6301377076998029
AwayElo,PC26,0.5646689050459546
EloTierHome,PC27,0.5435853228169506
HomeElo,PC27,0.4875901630641036
HomeFifaAttack,PC28,0.5458891772060178
AwayFifaAttack,PC28,0.54223915558871
AwayFifaDefence,PC29,0.5176059968058725
AwayFifaMidfield,PC31,0.629450132429393
HomeFifaDefence,PC32,0.6221379503859323
HomeFifaMidfield,PC32,0.5852517131515811
Bet365HomeWinOdds,PC33,0.44381388622767637
TotalGoalsConcededHome,PC34,0.3948000394536881
TotalGoalsConcededAway,PC35,0.46839261630800955
TotalGoalsScoredHome,PC38,0.4307070857952293
AwayFifaOverall,PC39,0.58088121492064
TotalGoalsScoredAway,PC39,0.39601628782282833
Bet365DrawOdds,PC40,0.6096807657542043
Bet365AwayWinOdds,PC40,0.5788208684326281
HomeFifaOverall,PC41,0.5537294992195991
OddsFavourHome,PC43,0.683574846334969
OddsFavourAway,PC43,0.6829448991724769
HomeAdvantageIndex,PC44,0.6938196792097586
HomeForm,PC44,0.5213732158890644
AwayForm,PC44,0.4939785061503817
TotalWinsAway,PC45,0.4680140012172629
TotalLossesHome,PC45,0.45406971256298
TotalLossesAway,PC45,0.4526871582242801
GeneralFormDifference,PC46,0.668084612925697
AwayGeneralForm,PC46,0.5295925814936082
HomeGeneralForm,PC46,0.5223783364643257
Bet365HomeWinOddsPercentage,PC47,0.8199746060610374
Bet365AwayWinOddsPercentage,PC48,0.5880578421795923
OddsFavourDraw,PC49,0.6144042142423173
OddsDifference_AvD,PC49,0.6138658239586625
OddsDifference_HvD,PC50,0.7412081271316088
OddsDifference_HvA,PC50,0.543240608801611
