Component,ExplainedVarianceRatio,CumulativeExplainedVarianceRatio,Eigenvalue
PC1,0.35514026267130344,0.35514026267130344,20.964309344630394
PC2,0.1531557779976045,0.5082960406689079,9.0409492962251
PC3,0.11470142024489098,0.6229974609137988,6.770947451001727
PC4,0.04268214287888824,0.6656796037926871,2.519572520654751
PC5,0.040140200303773334,0.7058198040964604,2.369518933150601
PC6,0.033728392053416496,0.7395481961498769,1.991023038013686
PC7,0.024170846797966966,0.7637190429478439,1.4268309247246431
PC8,0.023190251636902245,0.7869092945847461,1.368945344126773
PC9,0.019169877665498464,0.8060791722502446,1.1316183708806624
PC10,0.015652349111291656,0.8217315213615363,0.9239749001452315
PC11,0.01497719777445122,0.8367087191359874,0.884119995005783
PC12,0.014375655903714524,0.8510843750397019,0.8486103353377559
PC13,0.013983641417995064,0.8650680164576969,0.8254693011886503
PC14,0.0117828996651291,0.8768509161228261,0.6955571629599644
PC15,0.011040476585314872,0.8878913927081409,0.6517311349203777
PC16,0.010287501081675025,0.8981788937898159,0.607282186021996
PC17,0.009313161714436559,0.9074920555042524,0.5497658916210313
PC18,0.008212782142849914,0.9157048376471023,0.48480930922247256
PC19,0.007530355082165616,0.9232351927292679,0.4445249103268908
PC20,0.007140538847576945,0.9303757315768448,0.4215136412919303
PC21,0.006810987523594764,0.9371867191004396,0.4020598743522765
PC22,0.006491803973327657,0.9436785230737672,0.38321812817800444
PC23,0.006254323749101466,0.9499328468228687,0.3691994166794494
PC24,0.006125505417088764,0.9560583522399575,0.36159513283604555
PC25,0.005285482397449838,0.9613438346374074,0.3120076760158646
PC26,0.00517747970795742,0.9665213143453648,0.3056321618020152
PC27,0.0046392810404477765,0.9711605953858126,0.2738617191333311
PC28,0.00403114568134111,0.9751917410671537,0.23796283879849314
PC29,0.0037133486777138876,0.9789050897448676,0.21920294195456916
PC30,0.0033936260707061465,0.9822987158155737,0.2003293746846546
PC31,0.0030488457062287557,0.9853475615218025,0.1799766212049729
PC32,0.0025774831038726962,0.9879250446256752,0.1521515829089675
PC33,0.0022792853123079397,0.9902043299379831,0.13454864850432863
PC34,0.0017087335615477625,0.9919130634995309,0.10086836874644771
PC35,0.001512906048837131,0.993425969548368,0.08930846133472481
PC36,0.001251677828437251,0.9946776473768053,0.07388788023581666
PC37,0.0010610770002906099,0.9957387243770959,0.0626365096011466
PC38,0.000956779929759127,0.996695504306855,0.05647974203580735
PC39,0.0006860963674840573,0.9973816006743391,0.04050100199840065
PC40,0.0006187361467501533,0.9980003368210892,0.036524656161501946
PC41,0.0005485342792830153,0.9985488711003723,0.032380564880266464
PC42,0.000385014425909391,0.9989338855262817,0.02272781313556753
PC43,0.0003339714328017029,0.9992678569590834,0.019714690688294314
PC44,0.0002895961881263908,0.9995574531472098,0.01709517255869848
PC45,0.00025373574561394536,0.9998111888928237,0.01497829230296118
PC46,0.00012458607905309528,0.9999357749718768,0.007354449426988932
PC47,5.369303174055675e-05,0.9999894680036173,0.0031695570606194907
PC48,5.694006789539827e-06,0.9999951620104068,0.0003361233075868429
PC49,4.837989592875991e-06,0.9999999999999997,0.0002855916973993674
PC50,1.8664623684189726e-17,0.9999999999999997,1.1017926882557497e-15
PC51,1.246132845589392e-17,0.9999999999999997,7.35605539708114e-16
PC52,1.2013487644958408e-17,0.9999999999999997,7.091690179040746e-16
PC53,3.572297939795012e-18,0.9999999999999997,2.1087656611428165e-16
PC54,0.0,0.9999999999999997,0.0
PC55,0.0,0.9999999999999997,0.0
PC56,0.0,0.9999999999999997,0.0
PC57,0.0,0.9999999999999997,0.0
PC58,0.0,0.9999999999999997,0.0
PC59,0.0,0.9999999999999997,0.0
PC60,0.0,0.9999999999999997,0.0
