Model,Date,HomeTeam,AwayTeam,Gameweek,BetPlaced,ModelPredictedOutcome,ModelPredictedEncoded,ActualResult,EloTierHome,EloTierAway,BetOn,BetOnEncoded,p,q,b,Odds,KellyFraction,HalfKellyFraction,KellyStake,HalfKellyStake,KellyProfitLoss,HalfKellyProfitLoss,IntelligentMultiplier,IntelligentKellyFraction,IntelligentHalfKellyFraction,IntelligentKellyStake,IntelligentHalfKellyStake,IntelligentKellyProfitLoss,IntelligentHalfKellyProfitLoss,FlatPredictionStake,FlatPredictionProfitLoss,KellyBalanceBefore,KellyBalanceAfter,HalfKellyBalanceBefore,HalfKellyBalanceAfter,IntelligentKellyBalanceBefore,IntelligentKellyBalanceAfter,IntelligentHalfKellyBalanceBefore,IntelligentHalfKellyBalanceAfter,FlatPredictionBalanceBefore,FlatPredictionBalanceAfter,KellyDropFromPeak,HalfKellyDropFromPeak,IntelligentKellyDropFromPeak,IntelligentHalfKellyDropFromPeak,FlatPredictionDropFromPeak
random_forest,05/08/2022,Crystal Palace,Arsenal,1,False,Away,-1,-1,3,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8500000000000001,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.85,0.0,0.0,0.0,0.0,0.0
random_forest,06/08/2022,Bournemouth,Aston Villa,1,False,Away,-1,1,4,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.85,379.85,0.0,0.0,0.0,0.0,0.0026257056583956937
random_forest,06/08/2022,Everton,Chelsea,1,False,Away,-1,-1,4,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6100000000000001,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,379.85,380.46000000000004,0.0,0.0,0.0,0.0,0.0010240252067742848
random_forest,06/08/2022,Fulham,Liverpool,1,False,Away,-1,0,4,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.46000000000004,379.46000000000004,0.0,0.0,0.0,0.0,0.0036497308651699785
random_forest,06/08/2022,Leeds,Wolves,1,True,Draw,0,1,3,3,Draw,0,0.4037296790543805,0.5962703209456195,2.4,3.4,0.15528371199370572,0.07764185599685286,10.0,10.0,-10.0,-10.0,0.2602739726027397,0.040416308601101486,0.020208154300550743,10.0,7.679098634209282,-10.0,-7.679098634209282,1.0,-1.0,380.0,370.0,380.0,370.0,380.0,370.0,380.0,372.32090136579075,379.46000000000004,378.46000000000004,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.020208154300550667,0.006275436523565672
random_forest,06/08/2022,Newcastle,Nott'm Forest,1,False,Home,1,1,3,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6599999999999999,370.0,370.0,370.0,370.0,370.0,370.0,372.32090136579075,372.32090136579075,378.46000000000004,379.12000000000006,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.020208154300550667,0.004542470789024449
random_forest,06/08/2022,Tottenham,Southampton,1,False,Home,1,1,2,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33000000000000007,370.0,370.0,370.0,370.0,370.0,370.0,372.32090136579075,372.32090136579075,379.12000000000006,379.45000000000005,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.020208154300550667,0.0036759879217539114
random_forest,07/08/2022,Leicester,Brentford,1,False,Home,1,0,3,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,370.0,370.0,370.0,370.0,370.0,370.0,372.32090136579075,372.32090136579075,379.45000000000005,378.45000000000005,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.020208154300550667,0.006301693580149605
random_forest,07/08/2022,Man United,Brighton,1,False,Home,1,-1,2,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,370.0,370.0,370.0,370.0,370.0,370.0,372.32090136579075,372.32090136579075,378.45000000000005,377.45000000000005,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.020208154300550667,0.008927399238545299
random_forest,07/08/2022,West Ham,Man City,1,False,Away,-1,-1,3,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3600000000000001,370.0,370.0,370.0,370.0,370.0,370.0,372.32090136579075,372.32090136579075,377.45000000000005,377.81000000000006,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.020208154300550667,0.007982145201522814
