Position,Club,Matches Played,Wins,Draws,Losses,Points
1,Man City,38,38,0,0,114
2,Liverpool,38,35,1,2,106
3,Arsenal,38,33,2,3,101
4,Chelsea,38,29,3,6,90
5,Tottenham,38,28,1,9,85
6,Newcastle,38,27,1,10,82
7,Man United,38,25,2,11,77
8,Brighton,38,23,1,14,70
9,Aston Villa,38,20,5,13,65
10,Everton,38,9,12,17,39
11,Bournemouth,38,10,8,20,38
12,Brentford,38,9,9,20,36
13,Crystal Palace,38,7,14,17,35
14,West Ham,38,8,11,19,35
15,Fulham,38,6,14,18,32
16,Wolves,38,6,12,20,30
17,Nott'm Forest,38,4,12,22,24
18,Burnley,38,3,6,29,15
19,Luton,38,1,2,35,5
20,Sheffield United,38,0,2,36,2
