Season,ScoreOutcome,Count
2019,0-0,21
2020,0-0,30
2021,0-0,22
2022,0-0,23
2023,0-0,11
Total,0-0,107
2019,0-1,22
2020,0-1,38
2021,0-1,28
2022,0-1,24
2023,0-1,20
Total,0-1,132
2019,0-2,25
2020,0-2,23
2021,0-2,18
2022,0-2,23
2023,0-2,19
Total,0-2,108
2019,0-3,10
2020,0-3,14
2021,0-3,13
2022,0-3,9
2023,0-3,7
Total,0-3,53
2019,0-4,3
2020,0-4,3
2021,0-4,7
2022,0-4,3
2023,0-4,5
Total,0-4,21
2019,0-5,2
2020,0-5,2
2021,0-5,4
2023,0-5,3
Total,0-5,11
2021,0-6,1
2023,0-6,2
Total,0-6,3
2020,0-7,1
Total,0-7,1
2023,0-8,1
Total,0-8,1
2019,0-9,1
Total,0-9,1
2019,1-0,33
2020,1-0,33
2021,1-0,37
2022,1-0,46
2023,1-0,22
Total,1-0,171
2019,1-1,49
2020,1-1,40
2021,1-1,42
2022,1-1,38
2023,1-1,38
Total,1-1,207
2019,1-2,25
2020,1-2,33
2021,1-2,25
2022,1-2,21
2023,1-2,24
Total,1-2,128
2019,1-3,12
2020,1-3,18
2021,1-3,8
2022,1-3,8
2023,1-3,17
Total,1-3,63
2019,1-4,4
2020,1-4,4
2021,1-4,7
2022,1-4,7
2023,1-4,7
Total,1-4,29
2019,1-5,1
2020,1-5,1
2021,1-5,2
2022,1-5,3
2023,1-5,1
Total,1-5,8
2019,1-6,1
2020,1-6,1
2022,1-6,1
Total,1-6,3
2019,2-0,32
2020,2-0,26
2021,2-0,28
2022,2-0,26
2023,2-0,24
Total,2-0,136
2019,2-1,37
2020,2-1,27
2021,2-1,25
2022,2-1,34
2023,2-1,31
Total,2-1,154
2019,2-2,20
2020,2-2,7
2021,2-2,20
2022,2-2,20
2023,2-2,27
Total,2-2,94
2019,2-3,8
2020,2-3,7
2021,2-3,12
2022,2-3,6
2023,2-3,10
Total,2-3,43
2019,2-4,1
2020,2-4,3
2021,2-4,3
2022,2-4,4
2023,2-4,4
Total,2-4,15
2019,2-5,1
2020,2-5,3
2021,2-5,1
2023,2-5,1
Total,2-5,6
2019,3-0,19
2020,3-0,14
2021,3-0,18
2022,3-0,15
2023,3-0,18
Total,3-0,84
2019,3-1,16
2020,3-1,13
2021,3-1,18
2022,3-1,17
2023,3-1,26
Total,3-1,90
2019,3-2,10
2020,3-2,7
2021,3-2,10
2022,3-2,6
2023,3-2,13
Total,3-2,46
2019,3-3,2
2020,3-3,6
2021,3-3,4
2022,3-3,5
2023,3-3,4
Total,3-3,21
2020,3-4,2
2023,3-4,2
Total,3-4,4
2019,4-0,12
2020,4-0,6
2021,4-0,7
2022,4-0,9
2023,4-0,5
Total,4-0,39
2019,4-1,4
2020,4-1,4
2021,4-1,6
2022,4-1,10
2023,4-1,9
Total,4-1,33
2020,4-2,3
2021,4-2,2
2022,4-2,3
2023,4-2,6
Total,4-2,14
2020,4-3,2
2022,4-3,5
2023,4-3,4
Total,4-3,11
2022,4-4,1
2023,4-4,2
Total,4-4,3
2019,5-0,5
2020,5-0,3
2021,5-0,4
2022,5-0,2
2023,5-0,8
Total,5-0,22
2021,5-1,4
2022,5-1,1
2023,5-1,5
Total,5-1,10
2019,5-2,2
2020,5-2,3
2022,5-2,2
2023,5-2,1
Total,5-2,8
2019,5-3,1
2022,5-3,1
Total,5-3,2
2021,6-0,1
2022,6-0,2
2023,6-0,1
Total,6-0,4
2022,6-1,1
2023,6-1,2
Total,6-1,3
2020,6-2,1
2022,6-2,1
Total,6-2,2
2021,6-3,1
2022,6-3,1
Total,6-3,2
2021,7-0,2
2022,7-0,1
Total,7-0,3
2020,7-2,1
Total,7-2,1
2019,8-0,1
Total,8-0,1
2020,9-0,1
2022,9-0,1
Total,9-0,2
