Row Number,Fold,Season,Outcome
1,1,2019,1
2,1,2019,-1
3,1,2019,-1
4,1,2019,-1
5,1,2019,-1
6,1,2019,-1
7,1,2019,1
8,1,2019,-1
9,1,2019,-1
10,1,2019,0
11,1,2019,0
12,1,2019,0
13,1,2019,1
14,1,2019,1
15,1,2019,1
16,1,2019,0
17,1,2019,1
18,1,2019,-1
19,1,2019,1
20,1,2019,0
21,1,2019,1
22,1,2019,0
23,1,2019,1
24,1,2019,-1
25,1,2019,1
26,1,2019,-1
27,1,2019,1
28,1,2019,1
29,1,2019,0
30,1,2019,0
31,1,2019,-1
32,1,2019,1
33,1,2019,1
34,1,2019,-1
35,1,2019,1
36,1,2019,0
37,1,2019,0
38,1,2019,1
39,1,2019,1
40,1,2019,-1
41,1,2019,-1
42,1,2019,0
43,1,2019,0
44,1,2019,1
45,1,2019,1
46,1,2019,1
47,1,2019,1
48,1,2019,-1
49,1,2019,1
50,1,2019,0
51,1,2019,1
52,1,2019,1
53,1,2019,1
54,1,2019,-1
55,1,2019,0
56,1,2019,-1
57,1,2019,1
58,1,2019,-1
59,1,2019,-1
60,1,2019,1
61,1,2019,1
62,1,2019,1
63,1,2019,0
64,1,2019,1
65,1,2019,1
66,1,2019,0
67,1,2019,0
68,1,2019,-1
69,1,2019,0
70,1,2019,1
71,1,2019,-1
72,1,2019,1
73,1,2019,1
74,1,2019,0
75,1,2019,0
76,1,2019,-1
77,1,2019,0
78,1,2019,0
79,1,2019,1
80,1,2019,-1
81,1,2019,1
82,1,2019,0
83,1,2019,-1
84,1,2019,1
85,1,2019,1
86,1,2019,1
87,1,2019,-1
88,1,2019,-1
89,1,2019,-1
90,1,2019,0
91,1,2019,-1
92,1,2019,1
93,1,2019,1
94,1,2019,1
95,1,2019,-1
96,1,2019,0
97,1,2019,1
98,1,2019,1
99,1,2019,1
100,1,2019,1
101,1,2019,-1
102,1,2019,0
103,1,2019,-1
104,1,2019,-1
105,1,2019,-1
106,1,2019,-1
107,1,2019,-1
108,1,2019,1
109,1,2019,0
110,1,2019,1
111,1,2019,0
112,1,2019,-1
113,1,2019,-1
114,1,2019,1
115,1,2019,1
116,1,2019,1
117,1,2019,0
118,1,2019,0
119,1,2019,1
120,1,2019,0
121,1,2019,1
122,1,2019,-1
123,1,2019,1
124,1,2019,1
125,1,2019,1
126,1,2019,1
127,1,2019,1
128,1,2019,1
129,1,2019,-1
130,1,2019,-1
131,1,2019,1
132,1,2019,-1
133,1,2019,1
134,1,2019,0
135,1,2019,-1
136,1,2019,-1
137,1,2019,1
138,1,2019,-1
139,1,2019,0
140,1,2019,-1
141,1,2019,1
142,1,2019,1
143,1,2019,-1
144,1,2019,0
145,1,2019,1
146,1,2019,-1
147,1,2019,0
148,1,2019,-1
149,1,2019,-1
150,1,2019,0
151,1,2019,0
152,1,2019,-1
153,1,2019,-1
154,1,2019,-1
155,1,2019,1
156,1,2019,-1
157,1,2019,1
158,1,2019,1
159,1,2019,-1
160,1,2019,1
161,1,2019,1
162,1,2019,0
163,1,2019,-1
164,1,2019,1
165,1,2019,1
166,1,2019,0
167,1,2019,1
168,1,2019,-1
169,1,2019,1
170,1,2019,1
171,1,2019,-1
172,1,2019,0
173,1,2019,1
174,1,2019,0
175,1,2019,-1
176,1,2019,-1
177,1,2019,-1
178,1,2019,1
179,1,2019,1
180,1,2019,0
181,1,2019,-1
182,1,2019,-1
183,1,2019,1
184,1,2019,1
185,1,2019,1
186,1,2019,0
187,1,2019,1
188,1,2019,1
189,1,2019,1
190,1,2019,1
191,1,2019,0
192,1,2019,1
193,1,2019,1
194,1,2019,-1
195,1,2019,1
196,1,2019,0
197,1,2019,-1
198,1,2019,-1
199,1,2019,-1
200,1,2019,0
201,1,2019,0
202,1,2019,0
203,1,2019,0
204,1,2019,1
205,1,2019,-1
206,1,2019,0
207,1,2019,1
208,1,2019,1
209,1,2019,1
210,1,2019,1
211,1,2019,1
212,1,2019,-1
213,1,2019,0
214,1,2019,-1
215,1,2019,0
216,1,2019,1
217,1,2019,1
218,1,2019,-1
219,1,2019,-1
220,1,2019,-1
221,1,2019,0
222,1,2019,1
223,1,2019,-1
224,1,2019,1
225,1,2019,0
226,1,2019,-1
227,1,2019,0
228,1,2019,0
229,1,2019,0
230,1,2019,1
231,1,2019,1
232,1,2019,0
233,1,2019,1
234,1,2019,0
235,1,2019,-1
236,1,2019,-1
237,1,2019,-1
238,1,2019,1
239,1,2019,-1
240,1,2019,1
241,1,2019,1
242,1,2019,1
243,1,2019,1
244,1,2019,0
245,1,2019,1
246,1,2019,-1
247,1,2019,1
248,1,2019,1
249,1,2019,1
250,1,2019,1
251,1,2019,1
252,1,2019,-1
253,1,2019,0
254,1,2019,0
255,1,2019,1
256,1,2019,1
257,1,2019,0
258,1,2019,-1
259,1,2019,1
260,1,2019,1
261,1,2019,1
262,1,2019,1
263,1,2019,-1
264,1,2019,0
265,1,2019,0
266,1,2019,1
267,1,2019,1
268,1,2019,1
269,1,2019,0
270,1,2019,1
271,1,2019,-1
272,1,2019,0
273,1,2019,0
274,1,2019,1
275,1,2019,-1
276,1,2019,-1
277,1,2019,1
278,1,2019,-1
279,1,2019,0
280,1,2019,1
281,1,2019,0
282,1,2019,1
283,1,2019,1
284,1,2019,0
285,1,2019,-1
286,1,2019,1
287,1,2019,1
288,1,2019,1
289,1,2019,-1
290,1,2019,1
291,1,2019,-1
292,1,2019,-1
293,1,2019,-1
294,1,2019,-1
295,1,2019,1
296,1,2019,-1
297,1,2019,1
298,1,2019,1
299,1,2019,1
300,1,2019,1
301,1,2019,-1
302,1,2019,1
303,1,2019,1
304,1,2019,-1
305,1,2019,1
306,1,2019,0
307,1,2019,0
308,1,2019,1
309,1,2019,1
310,1,2019,1
311,1,2019,-1
312,1,2019,1
313,1,2019,0
314,1,2019,1
315,1,2019,1
316,1,2019,-1
317,1,2019,-1
318,1,2019,0
319,1,2019,0
320,1,2019,-1
321,1,2019,-1
322,1,2019,1
323,1,2019,0
324,1,2019,1
325,1,2019,-1
326,1,2019,1
327,1,2019,1
328,1,2019,1
329,1,2019,1
330,1,2019,0
331,1,2019,1
332,1,2019,0
333,1,2019,1
334,1,2019,-1
335,1,2019,1
336,1,2019,0
337,1,2019,1
338,1,2019,-1
339,1,2019,0
340,1,2019,1
341,1,2019,-1
342,1,2019,-1
343,1,2019,1
344,1,2019,0
345,1,2019,-1
346,1,2019,1
347,1,2019,-1
348,1,2019,1
349,1,2019,0
350,1,2019,1
351,1,2019,1
352,1,2019,-1
353,1,2019,1
354,1,2019,0
355,1,2019,-1
356,1,2019,-1
357,1,2019,1
358,1,2019,-1
359,1,2019,1
360,1,2019,0
361,1,2020,1
362,1,2020,-1
363,1,2020,-1
364,1,2020,-1
365,1,2020,-1
366,1,2020,-1
367,1,2020,1
368,1,2020,-1
369,1,2020,-1
370,1,2020,-1
371,1,2020,1
372,1,2020,1
373,1,2020,-1
374,1,2020,-1
375,1,2020,-1
376,1,2020,0
377,1,2020,-1
378,1,2020,-1
379,1,2020,0
380,1,2020,-1
381,1,2020,1
382,1,2020,-1
383,1,2020,1
384,1,2020,1
385,1,2020,1
386,1,2020,0
387,1,2020,1
388,1,2020,-1
389,1,2020,1
390,1,2020,1
391,1,2020,1
392,1,2020,-1
393,1,2020,1
394,1,2020,0
395,1,2020,0
396,1,2020,1
397,1,2020,-1
398,1,2020,0
399,1,2020,0
400,1,2020,0
401,1,2020,-1
402,1,2020,0
403,1,2020,-1
404,1,2020,-1
405,1,2020,0
406,1,2020,-1
407,1,2020,0
408,1,2020,1
409,1,2020,1
410,1,2020,0
411,1,2020,-1
412,1,2020,0
413,1,2020,-1
414,1,2020,1
415,1,2020,-1
416,1,2020,-1
417,1,2020,1
418,1,2020,-1
419,1,2020,1
420,1,2020,-1
421,1,2020,1
422,1,2020,1
423,1,2020,-1
424,1,2020,0
425,1,2020,1
426,1,2020,-1
427,1,2020,1
428,1,2020,1
429,1,2020,1
430,1,2020,-1
431,1,2020,1
432,1,2020,0
433,1,2020,-1
434,1,2020,-1
435,1,2020,-1
436,1,2020,1
437,1,2020,1
438,1,2020,-1
439,1,2020,-1
440,1,2020,0
441,1,2020,1
442,1,2020,1
443,1,2020,0
444,1,2020,-1
445,1,2020,0
446,1,2020,1
447,1,2020,-1
448,1,2020,1
449,1,2020,-1
450,1,2020,0
451,1,2020,-1
452,1,2020,-1
453,1,2020,1
454,1,2020,0
455,1,2020,1
456,1,2020,-1
457,1,2020,1
458,1,2020,-1
459,1,2020,-1
460,1,2020,1
461,1,2020,1
462,1,2020,-1
463,1,2020,-1
464,1,2020,-1
465,1,2020,1
466,1,2020,0
467,1,2020,1
468,1,2020,1
469,1,2020,0
470,1,2020,0
471,1,2020,-1
472,1,2020,1
473,1,2020,1
474,1,2020,0
475,1,2020,0
476,1,2020,1
477,1,2020,-1
478,1,2020,0
479,1,2020,1
480,1,2020,0
481,1,2020,0
482,1,2020,-1
483,1,2020,-1
484,1,2020,-1
485,1,2020,1
486,1,2020,0
487,1,2020,0
488,1,2020,-1
