Row Number,Fold,Season,Outcome
1,1,2019,1
2,1,2019,0
3,1,2019,1
4,1,2019,0
5,1,2019,1
6,1,2019,-1
7,1,2019,-1
8,1,2019,0
9,1,2019,1
10,1,2019,-1
11,1,2019,1
12,1,2019,-1
13,1,2019,0
14,1,2019,1
15,1,2019,0
16,1,2019,1
17,1,2019,-1
18,1,2019,0
19,1,2019,1
20,1,2019,0
21,1,2019,1
22,1,2019,-1
23,1,2019,1
24,1,2019,-1
25,1,2019,-1
26,1,2019,-1
27,1,2019,-1
28,1,2019,-1
29,1,2019,-1
30,1,2019,0
31,1,2019,-1
32,1,2019,0
33,1,2019,1
34,1,2019,1
35,1,2019,1
36,1,2019,0
37,1,2019,0
38,1,2019,1
39,1,2019,0
40,1,2019,1
41,1,2019,0
42,1,2019,1
43,1,2019,1
44,1,2019,1
45,1,2019,-1
46,1,2019,1
47,1,2019,-1
48,1,2019,1
49,1,2019,0
50,1,2019,0
51,1,2019,-1
52,1,2019,1
53,1,2019,-1
54,1,2019,1
55,1,2019,1
56,1,2019,0
57,1,2019,1
58,1,2019,-1
59,1,2019,0
60,1,2019,1
61,1,2019,0
62,1,2019,0
63,1,2019,1
64,1,2019,1
65,1,2019,-1
66,1,2019,-1
67,1,2019,1
68,1,2019,1
69,1,2019,1
70,1,2019,0
71,1,2019,1
72,1,2019,1
73,1,2019,1
74,1,2019,-1
75,1,2019,0
76,1,2019,-1
77,1,2019,1
78,1,2019,-1
79,1,2019,1
80,1,2019,-1
81,1,2019,1
82,1,2019,0
83,1,2019,1
84,1,2019,-1
85,1,2019,1
86,1,2019,1
87,1,2019,0
88,1,2019,0
89,1,2019,0
90,1,2019,1
91,1,2019,-1
92,1,2019,1
93,1,2019,-1
94,1,2019,1
95,1,2019,0
96,1,2019,0
97,1,2019,0
98,1,2019,1
99,1,2019,0
100,1,2019,-1
101,1,2019,0
102,1,2019,-1
103,1,2019,1
104,1,2019,1
105,1,2019,1
106,1,2019,1
107,1,2019,-1
108,1,2019,-1
109,1,2019,-1
110,1,2019,0
111,1,2019,-1
112,1,2019,1
113,1,2019,1
114,1,2019,1
115,1,2019,1
116,1,2019,-1
117,1,2019,0
118,1,2019,1
119,1,2019,1
120,1,2019,1
121,1,2019,0
122,1,2019,-1
123,1,2019,-1
124,1,2019,-1
125,1,2019,-1
126,1,2019,1
127,1,2019,-1
128,1,2019,-1
129,1,2019,0
130,1,2019,1
131,1,2019,-1
132,1,2019,-1
133,1,2019,1
134,1,2019,0
135,1,2019,1
136,1,2019,1
137,1,2019,1
138,1,2019,0
139,1,2019,0
140,1,2019,0
141,1,2019,-1
142,1,2019,1
143,1,2019,1
144,1,2019,1
145,1,2019,1
146,1,2019,1
147,1,2019,1
148,1,2019,1
149,1,2019,-1
150,1,2019,-1
151,1,2019,-1
152,1,2019,1
153,1,2019,-1
154,1,2019,1
155,1,2019,0
156,1,2019,-1
157,1,2019,0
158,1,2019,1
159,1,2019,-1
160,1,2019,-1
161,1,2019,1
162,1,2019,-1
163,1,2019,0
164,1,2019,1
165,1,2019,1
166,1,2019,-1
167,1,2019,-1
168,1,2019,0
169,1,2019,-1
170,1,2019,0
171,1,2019,-1
172,1,2019,-1
173,1,2019,-1
174,1,2019,0
175,1,2019,1
176,1,2019,1
177,1,2019,-1
178,1,2019,-1
179,1,2019,1
180,1,2019,1
181,1,2019,0
182,1,2019,-1
183,1,2019,1
184,1,2019,1
185,1,2019,-1
186,1,2019,1
187,1,2019,0
188,1,2019,1
189,1,2019,1
190,1,2019,1
191,1,2019,-1
192,1,2019,-1
193,1,2019,0
194,1,2019,0
195,1,2019,1
196,1,2019,-1
197,1,2019,-1
198,1,2019,1
199,1,2019,1
200,1,2019,1
201,1,2019,0
202,1,2019,-1
203,1,2019,1
204,1,2019,-1
205,1,2019,0
206,1,2019,1
207,1,2019,1
208,1,2019,1
209,1,2019,1
210,1,2019,1
211,1,2019,1
212,1,2019,0
213,1,2019,1
214,1,2019,-1
215,1,2019,1
216,1,2019,-1
217,1,2019,0
218,1,2019,-1
219,1,2019,-1
220,1,2019,0
221,1,2019,0
222,1,2019,0
223,1,2019,1
224,1,2019,1
225,1,2019,-1
226,1,2019,0
227,1,2019,0
228,1,2019,1
229,1,2019,1
230,1,2019,1
231,1,2019,1
232,1,2019,0
233,1,2019,-1
234,1,2019,0
235,1,2019,-1
236,1,2019,1
237,1,2019,-1
238,1,2019,1
239,1,2019,-1
240,1,2019,-1
241,1,2019,1
242,1,2019,-1
243,1,2019,0
244,1,2019,1
245,1,2019,0
246,1,2019,0
247,1,2019,-1
248,1,2019,0
249,1,2019,0
250,1,2019,1
251,1,2019,0
252,1,2019,1
253,1,2019,1
254,1,2019,0
255,1,2019,-1
256,1,2019,-1
257,1,2019,1
258,1,2019,-1
259,1,2019,-1
260,1,2019,1
261,1,2019,1
262,1,2019,1
263,1,2019,1
264,1,2019,-1
265,1,2019,0
266,1,2019,1
267,1,2019,1
268,1,2019,1
269,1,2019,1
270,1,2019,1
271,1,2019,1
272,1,2019,0
273,1,2019,-1
274,1,2019,0
275,1,2019,1
276,1,2019,1
277,1,2019,0
278,1,2019,-1
279,1,2019,1
280,1,2019,0
281,1,2019,1
282,1,2019,1
283,1,2019,1
284,1,2019,-1
285,1,2019,0
286,1,2019,1
287,1,2019,1
288,1,2019,1
289,1,2019,0
290,1,2019,1
291,1,2019,-1
292,1,2019,0
293,1,2019,-1
294,1,2019,1
295,1,2019,0
296,1,2019,-1
297,1,2019,-1
298,1,2019,0
299,1,2019,1
300,1,2019,1
301,1,2019,0
302,1,2019,1
303,1,2019,1
304,1,2019,1
305,1,2019,0
306,1,2019,-1
307,1,2019,1
308,1,2019,1
309,1,2019,1
310,1,2019,-1
311,1,2019,-1
312,1,2019,-1
313,1,2019,-1
314,1,2019,-1
315,1,2019,1
316,1,2019,-1
317,1,2019,1
318,1,2019,1
319,1,2019,1
320,1,2019,1
321,1,2019,1
322,1,2019,1
323,1,2019,1
324,1,2019,-1
325,1,2019,-1
326,1,2019,0
327,1,2019,1
328,1,2019,0
329,1,2019,1
330,1,2019,1
331,1,2019,0
332,1,2019,-1
333,1,2019,1
334,1,2019,-1
335,1,2019,1
336,1,2019,1
337,1,2019,-1
338,1,2019,-1
339,1,2019,0
340,1,2019,0
341,1,2019,-1
342,1,2019,0
343,1,2019,-1
344,1,2019,1
345,1,2019,1
346,1,2019,1
347,1,2019,1
348,1,2019,1
349,1,2019,1
350,1,2019,0
351,1,2019,1
352,1,2019,1
353,1,2019,0
354,1,2019,1
355,1,2019,-1
356,1,2019,-1
357,1,2019,0
358,1,2019,1
359,1,2019,0
360,1,2019,1
361,1,2019,-1
362,1,2019,-1
363,1,2019,1
364,1,2019,0
365,1,2019,-1
366,1,2019,1
367,1,2019,1
368,1,2019,-1
369,1,2019,1
370,1,2019,0
371,1,2019,1
372,1,2019,-1
373,1,2019,1
374,1,2019,0
375,1,2019,-1
376,1,2019,-1
377,1,2019,1
378,1,2019,-1
379,1,2019,1
380,1,2019,0
381,2,2020,1
382,2,2020,-1
383,2,2020,1
384,2,2020,-1
385,2,2020,-1
386,2,2020,-1
387,2,2020,-1
388,2,2020,-1
389,2,2020,1
390,2,2020,1
391,2,2020,1
392,2,2020,-1
393,2,2020,-1
394,2,2020,1
395,2,2020,-1
396,2,2020,-1
397,2,2020,1
398,2,2020,-1
399,2,2020,-1
400,2,2020,-1
401,2,2020,-1
402,2,2020,0
403,2,2020,-1
404,2,2020,-1
405,2,2020,0
406,2,2020,1
407,2,2020,-1
408,2,2020,1
409,2,2020,1
410,2,2020,1
411,2,2020,0
412,2,2020,1
413,2,2020,1
414,2,2020,1
415,2,2020,-1
416,2,2020,-1
417,2,2020,1
418,2,2020,1
419,2,2020,0
420,2,2020,0
421,2,2020,1
422,2,2020,-1
423,2,2020,0
424,2,2020,-1
425,2,2020,0
426,2,2020,0
427,2,2020,-1
428,2,2020,0
429,2,2020,-1
430,2,2020,-1
431,2,2020,1
432,2,2020,0
433,2,2020,0
434,2,2020,-1
435,2,2020,1
436,2,2020,0
437,2,2020,0
438,2,2020,-1
439,2,2020,1
440,2,2020,-1
441,2,2020,1
442,2,2020,-1
443,2,2020,-1
444,2,2020,-1
445,2,2020,1
446,2,2020,1
447,2,2020,1
448,2,2020,-1
449,2,2020,0
450,2,2020,1
451,2,2020,1
452,2,2020,1
453,2,2020,-1
454,2,2020,1
455,2,2020,-1
456,2,2020,1
457,2,2020,0
458,2,2020,-1
459,2,2020,-1
460,2,2020,1
461,2,2020,-1
462,2,2020,1
463,2,2020,-1
464,2,2020,0
465,2,2020,1
466,2,2020,-1
467,2,2020,1
468,2,2020,0
469,2,2020,-1
470,2,2020,0
471,2,2020,-1
472,2,2020,1
473,2,2020,1
474,2,2020,-1
475,2,2020,0
476,2,2020,-1
477,2,2020,-1
478,2,2020,1
479,2,2020,0
480,2,2020,1
481,2,2020,1
482,2,2020,-1
483,2,2020,1
484,2,2020,-1
485,2,2020,1
486,2,2020,-1
487,2,2020,-1
488,2,2020,-1
489,2,2020,1
490,2,2020,0
491,2,2020,1
492,2,2020,-1
493,2,2020,-1
494,2,2020,0
495,2,2020,0
496,2,2020,1
497,2,2020,1
498,2,2020,0
499,2,2020,1
500,2,2020,0
501,2,2020,0
502,2,2020,1
503,2,2020,-1
504,2,2020,1
505,2,2020,0
506,2,2020,0
507,2,2020,-1
508,2,2020,-1
509,2,2020,1
510,2,2020,0
511,2,2020,-1
512,2,2020,0
513,2,2020,1
514,2,2020,-1
515,2,2020,-1
516,2,2020,1
517,2,2020,1
518,2,2020,1
519,2,2020,1
520,2,2020,0
521,2,2020,0
522,2,2020,1
523,2,2020,-1
524,2,2020,1
525,2,2020,0
526,2,2020,0
527,2,2020,0
528,2,2020,0
529,2,2020,0
530,2,2020,-1
531,2,2020,1
532,2,2020,1
533,2,2020,0
534,2,2020,-1
535,2,2020,0
536,2,2020,-1
537,2,2020,1
538,2,2020,0
539,2,2020,1
540,2,2020,1
541,2,2020,-1
542,2,2020,-1
543,2,2020,-1
544,2,2020,1
545,2,2020,-1
546,2,2020,1
547,2,2020,-1
548,2,2020,1
549,2,2020,0
550,2,2020,0
551,2,2020,-1
552,2,2020,-1
553,2,2020,1
554,2,2020,1
555,2,2020,-1
556,2,2020,0
557,2,2020,1
558,2,2020,-1
559,2,2020,1
560,2,2020,1
561,2,2020,1
562,2,2020,-1
563,2,2020,1
564,2,2020,-1
565,2,2020,1
566,2,2020,-1
567,2,2020,-1
568,2,2020,-1
569,2,2020,-1
570,2,2020,0
571,2,2020,1
572,2,2020,0
573,2,2020,0
574,2,2020,-1
575,2,2020,-1
576,2,2020,0
577,2,2020,1
578,2,2020,-1
579,2,2020,1
580,2,2020,-1
581,2,2020,0
582,2,2020,1
583,2,2020,1
584,2,2020,-1
585,2,2020,-1
586,2,2020,1
587,2,2020,-1
588,2,2020,1
589,2,2020,1
590,2,2020,-1
591,2,2020,-1
592,2,2020,-1
593,2,2020,-1
594,2,2020,-1
595,2,2020,-1
596,2,2020,1
597,2,2020,0
598,2,2020,0
599,2,2020,0
600,2,2020,1
601,2,2020,-1
602,2,2020,-1
603,2,2020,1
604,2,2020,0
605,2,2020,1
606,2,2020,0
607,2,2020,-1
608,2,2020,1
609,2,2020,1
610,2,2020,1
611,2,2020,-1
612,2,2020,-1
613,2,2020,0
614,2,2020,1
615,2,2020,1
616,2,2020,0
617,2,2020,-1
618,2,2020,1
619,2,2020,0
620,2,2020,1
621,2,2020,-1
622,2,2020,0
623,2,2020,-1
624,2,2020,-1
625,2,2020,1
626,2,2020,1
627,2,2020,-1
628,2,2020,1
629,2,2020,-1
630,2,2020,1
631,2,2020,0
632,2,2020,1
633,2,2020,0
634,2,2020,0
635,2,2020,-1
636,2,2020,-1
637,2,2020,1
638,2,2020,1
639,2,2020,1
640,2,2020,0
641,2,2020,0
642,2,2020,1
643,2,2020,-1
644,2,2020,-1
645,2,2020,-1
646,2,2020,0
647,2,2020,-1
648,2,2020,0
649,2,2020,-1
650,2,2020,-1
651,2,2020,-1
652,2,2020,1
653,2,2020,0
654,2,2020,1
655,2,2020,1
656,2,2020,1
657,2,2020,0
658,2,2020,1
659,2,2020,-1
660,2,2020,-1
661,2,2020,0
662,2,2020,1
663,2,2020,1
664,2,2020,1
665,2,2020,-1
666,2,2020,-1
667,2,2020,-1
668,2,2020,1
669,2,2020,-1
670,2,2020,0
671,2,2020,-1
