Model,Date,HomeTeam,AwayTeam,Gameweek,BetPlaced,ModelPredictedOutcome,ModelPredictedEncoded,ActualResult,EloTierHome,EloTierAway,BetOn,BetOnEncoded,p,q,b,Odds,KellyFraction,HalfKellyFraction,KellyStake,HalfKellyStake,KellyProfitLoss,HalfKellyProfitLoss,IntelligentMultiplier,IntelligentKellyFraction,IntelligentHalfKellyFraction,IntelligentKellyStake,IntelligentHalfKellyStake,IntelligentKellyProfitLoss,IntelligentHalfKellyProfitLoss,FlatPredictionStake,FlatPredictionProfitLoss,KellyBalanceBefore,KellyBalanceAfter,HalfKellyBalanceBefore,HalfKellyBalanceAfter,IntelligentKellyBalanceBefore,IntelligentKellyBalanceAfter,IntelligentHalfKellyBalanceBefore,IntelligentHalfKellyBalanceAfter,FlatPredictionBalanceBefore,FlatPredictionBalanceAfter,KellyDropFromPeak,HalfKellyDropFromPeak,IntelligentKellyDropFromPeak,IntelligentHalfKellyDropFromPeak,FlatPredictionDropFromPeak
xgboost,12/09/2020,Crystal Palace,Southampton,1,True,Draw,0,1,4,3,Draw,0,0.41902965,0.5809703500000001,2.25,3.25,0.1608206055555555,0.08041030277777775,10.0,10.0,-10.0,-10.0,0.2391304347826087,0.0384571013285024,0.0192285506642512,10.0,7.306849252415456,-10.0,-7.306849252415456,1.0,-1.0,380.0,370.0,380.0,370.0,380.0,370.0,380.0,372.6931507475845,380.0,379.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.019228550664251248,0.002631578947368421
xgboost,12/09/2020,Fulham,Arsenal,1,False,Away,-1,-1,4,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.53,370.0,370.0,370.0,370.0,370.0,370.0,372.6931507475845,372.6931507475845,379.0,379.53,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.019228550664251248,0.0012368421052632297
xgboost,12/09/2020,Liverpool,Leeds,1,False,Home,1,1,1,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28,370.0,370.0,370.0,370.0,370.0,370.0,372.6931507475845,372.6931507475845,379.53,379.80999999999995,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.019228550664251248,0.0005000000000001436
xgboost,12/09/2020,West Ham,Newcastle,1,True,Draw,0,-1,4,4,Draw,0,0.43667433,0.56332567,2.4,3.4,0.20195530083333332,0.10097765041666666,0.0,0.0,-0.0,-0.0,0.2,0.040391060166666666,0.020195530083333333,0.0,2.6931507475845438,-0.0,-2.6931507475845438,1.0,-1.0,370.0,370.0,370.0,370.0,370.0,370.0,372.6931507475845,370.0,379.80999999999995,378.80999999999995,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0031315789473685646
xgboost,13/09/2020,Tottenham,Everton,1,False,Draw,0,-1,2,3,Draw,0,0.49431673,0.50568327,2.6,3.6,0.2998231646153846,0.1499115823076923,0.0,0.0,-0.0,-0.0,0.3333333333333333,0.09994105487179486,0.04997052743589743,0.0,0.0,-0.0,-0.0,1.0,-1.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,378.80999999999995,377.80999999999995,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0057631578947369855
xgboost,13/09/2020,West Brom,Leicester,1,False,Draw,0,-1,4,3,Draw,0,0.4125464,0.5874536,2.6,3.6,0.18660270769230766,0.09330135384615383,0.0,0.0,-0.0,-0.0,0.22916666666666666,0.0427631205128205,0.02138156025641025,0.0,0.0,-0.0,-0.0,1.0,-1.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,377.80999999999995,376.80999999999995,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.008394736842105406
xgboost,14/09/2020,Brighton,Chelsea,1,False,Away,-1,-1,4,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6100000000000001,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,376.80999999999995,377.41999999999996,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.006789473684210634
xgboost,14/09/2020,Sheffield United,Wolves,1,False,Draw,0,-1,4,3,Draw,0,0.44647884,0.5535211600000001,2.1,3.1,0.1828973352380952,0.0914486676190476,0.0,0.0,-0.0,-0.0,0.22448979591836735,0.04105858546161321,0.020529292730806604,0.0,0.0,-0.0,-0.0,1.0,-1.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,377.41999999999996,376.41999999999996,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.009421052631579056
xgboost,19/09/2020,Arsenal,West Ham,1,False,Home,1,1,2,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.53,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,376.41999999999996,376.94999999999993,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.008026315789473864
xgboost,19/09/2020,Everton,West Brom,1,False,Home,1,1,3,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,376.94999999999993,377.44999999999993,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.006710526315789654
xgboost,19/09/2020,Leeds,Fulham,2,False,Home,1,1,4,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.4544500000000001,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,377.44999999999993,377.90444999999994,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.005514605263158052
xgboost,19/09/2020,Man United,Crystal Palace,2,False,Home,1,-1,2,4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.745,-0.745,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,377.90444999999994,377.15944999999994,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.007475131578947538
xgboost,20/09/2020,Chelsea,Liverpool,2,False,Draw,0,-1,2,1,Draw,0,0.4338543,0.5661457,2.6,3.6,0.2161059538461539,0.10805297692307694,0.0,0.0,-0.0,-0.0,0.1,0.02161059538461539,0.010805297692307696,0.0,0.0,-0.0,-0.0,0.745,-0.745,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,377.15944999999994,376.41444999999993,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.009435657894737024
xgboost,20/09/2020,Leicester,Burnley,2,False,Home,1,1,3,3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.4544500000000001,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,376.41444999999993,376.86889999999994,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.008239736842105423
xgboost,20/09/2020,Newcastle,Brighton,2,False,Draw,0,-1,4,4,Draw,0,0.43059227,0.56940773,2.1,3.1,0.1594457319047619,0.07972286595238096,0.0,0.0,-0.0,-0.0,0.19230769230769232,0.030662640750915755,0.015331320375457877,0.0,0.0,-0.0,-0.0,0.745,-0.745,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,376.86889999999994,376.12389999999994,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.010200263157894908
xgboost,20/09/2020,Southampton,Tottenham,2,False,Draw,0,-1,3,3,Draw,0,0.5302566,0.46974340000000003,2.3,3.3,0.3260203391304347,0.16301016956521736,0.0,0.0,-0.0,-0.0,0.2571428571428571,0.0838338014906832,0.0419169007453416,0.0,0.0,-0.0,-0.0,0.745,-0.745,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,376.12389999999994,375.37889999999993,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.012160789473684394
