Position,Club,Matches Played,Wins,Draws,Losses,Points
1,Man City,38,28,7,3,91
2,Arsenal,38,28,5,5,89
3,Liverpool,38,24,10,4,82
4,Aston Villa,38,20,8,10,68
5,Tottenham,38,20,6,12,66
6,Chelsea,38,18,9,11,63
7,Man United,38,18,6,14,60
8,Newcastle,38,18,6,14,60
9,West Ham,38,14,10,14,52
10,Crystal Palace,38,13,10,15,49
11,Bournemouth,38,13,9,16,48
12,Brighton,38,12,12,14,48
13,Everton,38,13,9,16,48
14,Fulham,38,13,8,17,47
15,Wolves,38,13,7,18,46
16,Brentford,38,10,9,19,39
17,Nott'm Forest,38,9,9,20,36
18,Luton,38,6,8,24,26
19,Burnley,38,5,9,24,24
20,Sheffield United,38,3,7,28,16
