Position,Club,Matches Played,Wins,Draws,Losses,Points
1,Man City,38,37,1,0,112
2,Arsenal,38,30,6,2,96
3,Liverpool,38,30,6,2,96
4,Chelsea,38,25,5,8,80
5,Newcastle,38,26,2,10,80
6,Tottenham,38,25,4,9,79
7,Aston Villa,38,23,5,10,74
8,Man United,38,21,7,10,70
9,Brighton,38,20,4,14,64
10,Everton,38,11,13,14,46
11,West Ham,38,11,9,18,42
12,Bournemouth,38,12,6,20,42
13,Fulham,38,11,8,19,41
14,Brentford,38,10,9,19,39
15,Crystal Palace,38,7,13,18,34
16,Nott'm Forest,38,6,10,22,28
17,Wolves,38,5,13,20,28
18,Burnley,38,3,5,30,14
19,Luton,38,2,1,35,7
20,Sheffield United,38,1,1,36,4
